question,correct_answers,question_type
"Convert 244 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{km}{hr}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bkm%7D%7Bhr%7D?scale=1.5"" alt=""LaTeX: \frac{km}{hr}"" data-equation-content=""\frac{km}{hr}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{ft}{hr}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bft%7D%7Bhr%7D?scale=1.5"" alt=""LaTeX: \frac{ft}{hr}"" data-equation-content=""\frac{ft}{hr}"" data-ignore-a11y-check=""""></mattext>. There are 3280.8 ft in one km.",801000;8.01e5;8.01E5;8.0e5;8.0e5;8.0E5;800500;8.005e5;8.005E5;8.00e5;8.00e5;8.00E5;8.0e5;8.0e5;8.0E5;8.000e5;8.000e5;8.000E5,short_answer
"Convert 27.80 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{cal}{hr}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bcal%7D%7Bhr%7D?scale=1.5"" alt=""LaTeX: \frac{cal}{hr}"" data-equation-content=""\frac{cal}{hr}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{cal}{s}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bcal%7D%7Bs%7D?scale=1.5"" alt=""LaTeX: \frac{cal}{s}"" data-equation-content=""\frac{cal}{s}"" data-ignore-a11y-check=""""></mattext>. There are 3600.0 s in one hr.",0.007722;7.722e-3;7.722E-3;.007722;0.00772;7.72e-3;7.72E-3;.00772;0.0077222;7.7222e-3;7.7222E-3;.0077222;0.007723;7.723e-3;7.723E-3;.007723;0.00772;7.72e-3;7.72E-3;.00772;0.0077230;7.7230e-3;7.7230E-3;.0077230,short_answer
"Convert 0.02629 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{J}{s}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7BJ%7D%7Bs%7D?scale=1.5"" alt=""LaTeX: \frac{J}{s}"" data-equation-content=""\frac{J}{s}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{kcal}{s}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bkcal%7D%7Bs%7D?scale=1.5"" alt=""LaTeX: \frac{kcal}{s}"" data-equation-content=""\frac{kcal}{s}"" data-ignore-a11y-check=""""></mattext>. There are 4184.0 J in one kcal.",0.000006283;6.283e-6;6.283E-6;.000006283;0.00000628;6.28e-6;6.28E-6;.00000628;0.0000062835;6.2835e-6;6.2835E-6;.0000062835;0.000006284;6.284e-6;6.284E-6;.000006284;0.00000628;6.28e-6;6.28E-6;.00000628;0.0000062840;6.2840e-6;6.2840E-6;.0000062840,short_answer
"Convert 0.00265 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{kJ}{s}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7BkJ%7D%7Bs%7D?scale=1.5"" alt=""LaTeX: \frac{kJ}{s}"" data-equation-content=""\frac{kJ}{s}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{kJ}{min}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7BkJ%7D%7Bmin%7D?scale=1.5"" alt=""LaTeX: \frac{kJ}{min}"" data-equation-content=""\frac{kJ}{min}"" data-ignore-a11y-check=""""></mattext>. There are 60.000 s in one min.",0.159;1.59e-1;1.59E-1;.159;0.16;1.6e-1;1.6E-1;.16;0.1590;1.590e-1;1.590E-1;.1590;0.158;1.58e-1;1.58E-1;.158;0.16;1.6e-1;1.6E-1;.16;0.1580;1.580e-1;1.580E-1;.1580,short_answer
"Convert 148.14 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{m}{gal}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bm%7D%7Bgal%7D?scale=1.5"" alt=""LaTeX: \frac{m}{gal}"" data-equation-content=""\frac{m}{gal}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{ft}{gal}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bft%7D%7Bgal%7D?scale=1.5"" alt=""LaTeX: \frac{ft}{gal}"" data-equation-content=""\frac{ft}{gal}"" data-ignore-a11y-check=""""></mattext>. There are 3.2808 ft in one m.",486.02;4.8602e2;4.8602E2;486.0;4.860e2;4.860E2;486.024;4.86024e2;4.86024E2;486.03;4.8603e2;4.8603E2;486.0;4.860e2;4.860E2;486.030;4.86030e2;4.86030E2,short_answer
"Convert 0.017 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{mg}{cm^{3}}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bmg%7D%7Bcm%5E%7B3%7D%7D?scale=1.5"" alt=""LaTeX: \frac{mg}{cm^{3}}"" data-equation-content=""\frac{mg}{cm^{3}}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{g}{cm^{3}}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bg%7D%7Bcm%5E%7B3%7D%7D?scale=1.5"" alt=""LaTeX: \frac{g}{cm^{3}}"" data-equation-content=""\frac{g}{cm^{3}}"" data-ignore-a11y-check=""""></mattext>. There are 1000.0 mg in one g.",0.000017;1.7e-5;1.7E-5;.000017;0.00002;2e-5;2E-5;.00002;0.0000170;1.70e-5;1.70E-5;.0000170;0.000018;1.8e-5;1.8E-5;.000018;0.00002;2e-5;2E-5;.00002;0.0000180;1.80e-5;1.80E-5;.0000180,short_answer
"Convert 3.9347 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{lb}{min}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Blb%7D%7Bmin%7D?scale=1.5"" alt=""LaTeX: \frac{lb}{min}"" data-equation-content=""\frac{lb}{min}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{kg}{min}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bkg%7D%7Bmin%7D?scale=1.5"" alt=""LaTeX: \frac{kg}{min}"" data-equation-content=""\frac{kg}{min}"" data-ignore-a11y-check=""""></mattext>. There are 2.2046 lb in one kg.",1.7847;1.7847e0;1.7847E0;1.785;1.785e0;1.785E0;1.78475;1.78475e0;1.78475E0;1.7848;1.7848e0;1.7848E0;1.785;1.785e0;1.785E0;1.78480;1.78480e0;1.78480E0,short_answer
"Convert 0.0195 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{km}{hr}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bkm%7D%7Bhr%7D?scale=1.5"" alt=""LaTeX: \frac{km}{hr}"" data-equation-content=""\frac{km}{hr}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{km}{min}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bkm%7D%7Bmin%7D?scale=1.5"" alt=""LaTeX: \frac{km}{min}"" data-equation-content=""\frac{km}{min}"" data-ignore-a11y-check=""""></mattext>. There are 60.000 min in one hr.",0.000325;3.25e-4;3.25E-4;.000325;0.00032;3.2e-4;3.2E-4;.00032;0.0003250;3.250e-4;3.250E-4;.0003250;0.000324;3.24e-4;3.24E-4;.000324;0.00032;3.2e-4;3.2E-4;.00032;0.0003240;3.240e-4;3.240E-4;.0003240,short_answer
"Convert 2.5 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{lb}{cm^{3}}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Blb%7D%7Bcm%5E%7B3%7D%7D?scale=1.5"" alt=""LaTeX: \frac{lb}{cm^{3}}"" data-equation-content=""\frac{lb}{cm^{3}}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{g}{cm^{3}}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bg%7D%7Bcm%5E%7B3%7D%7D?scale=1.5"" alt=""LaTeX: \frac{g}{cm^{3}}"" data-equation-content=""\frac{g}{cm^{3}}"" data-ignore-a11y-check=""""></mattext>. There are 453.59 g in one lb.",1100;1.1e3;1.1E3;1000;1e3;1E3;1130;1.13e3;1.13E3;1200;1.2e3;1.2E3;1000;1e3;1E3;1.20e3;1.20e3;1.20E3,short_answer
"Convert 1.154 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{km}{gal}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bkm%7D%7Bgal%7D?scale=1.5"" alt=""LaTeX: \frac{km}{gal}"" data-equation-content=""\frac{km}{gal}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{mi}{gal}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bmi%7D%7Bgal%7D?scale=1.5"" alt=""LaTeX: \frac{mi}{gal}"" data-equation-content=""\frac{mi}{gal}"" data-ignore-a11y-check=""""></mattext>. There are 1.6093 km in one mi.",0.7171;7.171e-1;7.171E-1;.7171;0.717;7.17e-1;7.17E-1;.717;0.71706;7.1706e-1;7.1706E-1;.71706;0.7170;7.170e-1;7.170E-1;.7170;0.717;7.17e-1;7.17E-1;.717;0.71700;7.1700e-1;7.1700E-1;.71700,short_answer
