question,correct_answers,question_type
Calculate the formula mass of H<sub>2</sub>O in g/mol.,18.015;1.8015e1;1.8015E1;18.02;1.802e1;1.802E1;18.0150;1.80150e1;1.80150E1;18.014;1.8014e1;1.8014E1;18.01;1.801e1;1.801E1;18.0140;1.80140e1;1.80140E1,short_answer
Calculate the formula mass of CO<sub>2</sub> in g/mol.,44.009;4.4009e1;4.4009E1;44.01;4.401e1;4.401E1;44.0090;4.40090e1;4.40090E1;44.008;4.4008e1;4.4008E1;44.01;4.401e1;4.401E1;44.0080;4.40080e1;4.40080E1,short_answer
Calculate the formula mass of O<sub>2</sub> in g/mol.,31.998;3.1998e1;3.1998E1;32.00;3.200e1;3.200E1;31.9980;3.19980e1;3.19980E1;31.997;3.1997e1;3.1997E1;32.00;3.200e1;3.200E1;31.9970;3.19970e1;3.19970E1,short_answer
Calculate the formula mass of N<sub>2</sub> in g/mol.,28.014;2.8014e1;2.8014E1;28.01;2.801e1;2.801E1;28.0140;2.80140e1;2.80140E1;28.013;2.8013e1;2.8013E1;28.01;2.801e1;2.801E1;28.0130;2.80130e1;2.80130E1,short_answer
Calculate the formula mass of H<sub>2</sub> in g/mol.,2.016;2.016e0;2.016E0;2.02;2.02e0;2.02E0;2.0160;2.0160e0;2.0160E0;2.015;2.015e0;2.015E0;2.02;2.02e0;2.02E0;2.0150;2.0150e0;2.0150E0,short_answer
Calculate the formula mass of NH<sub>3</sub> in g/mol.,17.031;1.7031e1;1.7031E1;17.03;1.703e1;1.703E1;17.0310;1.70310e1;1.70310E1;17.030;1.7030e1;1.7030E1;17.03;1.703e1;1.703E1;17.0300;1.70300e1;1.70300E1,short_answer
Calculate the formula mass of CH<sub>4</sub> in g/mol.,16.043;1.6043e1;1.6043E1;16.04;1.604e1;1.604E1;16.0430;1.60430e1;1.60430E1;16.042;1.6042e1;1.6042E1;16.04;1.604e1;1.604E1;16.0420;1.60420e1;1.60420E1,short_answer
Calculate the formula mass of C<sub>2</sub>H<sub>6</sub> in g/mol.,30.070;3.0070e1;3.0070E1;30.07;3.007e1;3.007E1;30.0700;3.00700e1;3.00700E1;30.069;3.0069e1;3.0069E1;30.07;3.007e1;3.007E1;30.0690;3.00690e1;3.00690E1,short_answer
Calculate the formula mass of C<sub>2</sub>H<sub>4</sub> in g/mol.,28.054;2.8054e1;2.8054E1;28.05;2.805e1;2.805E1;28.0540;2.80540e1;2.80540E1;28.053;2.8053e1;2.8053E1;28.05;2.805e1;2.805E1;28.0530;2.80530e1;2.80530E1,short_answer
Calculate the formula mass of C<sub>2</sub>H<sub>2</sub> in g/mol.,26.038;2.6038e1;2.6038E1;26.04;2.604e1;2.604E1;26.0380;2.60380e1;2.60380E1;26.037;2.6037e1;2.6037E1;26.04;2.604e1;2.604E1;26.0370;2.60370e1;2.60370E1,short_answer
Calculate the formula mass of HCl in g/mol.,36.46;3.646e1;3.646E1;36.5;3.65e1;3.65E1;36.458;3.6458e1;3.6458E1;36.45;3.645e1;3.645E1;36.5;3.65e1;3.65E1;36.450;3.6450e1;3.6450E1,short_answer
