question,correct_answers,question_type
"Convert 3.504 x 10<sup>-25</sup> <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{m^{3}}{molecule}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bm%5E%7B3%7D%7D%7Bmolecule%7D?scale=1.5"" alt=""LaTeX: \frac{m^{3}}{molecule}"" data-equation-content=""\frac{m^{3}}{molecule}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{cm^{3}}{molecule}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bcm%5E%7B3%7D%7D%7Bmolecule%7D?scale=1.5"" alt=""LaTeX: \frac{cm^{3}}{molecule}"" data-equation-content=""\frac{cm^{3}}{molecule}"" data-ignore-a11y-check=""""></mattext>. There are 1.0000 x 10<sup>6</sup> cm3 in one m3.",3.504e-19;3.504e-19;3.504E-19;3.50e-19;3.50e-19;3.50E-19;3.5040e-19;3.5040e-19;3.5040E-19;3.503e-19;3.503e-19;3.503E-19;3.50e-19;3.50e-19;3.50E-19;3.5030e-19;3.5030e-19;3.5030E-19,short_answer
"Convert 1.17 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{cal}{mol}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bcal%7D%7Bmol%7D?scale=1.5"" alt=""LaTeX: \frac{cal}{mol}"" data-equation-content=""\frac{cal}{mol}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{cal}{molecule}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bcal%7D%7Bmolecule%7D?scale=1.5"" alt=""LaTeX: \frac{cal}{molecule}"" data-equation-content=""\frac{cal}{molecule}"" data-ignore-a11y-check=""""></mattext>. ",1.94e-24;1.94e-24;1.94E-24;1.9e-24;1.9e-24;1.9E-24;1.940e-24;1.940e-24;1.940E-24;1.93e-24;1.93e-24;1.93E-24;1.9e-24;1.9e-24;1.9E-24;1.930e-24;1.930e-24;1.930E-24,short_answer
"Convert 8.043 x 10<sup>-27</sup> <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{cm^{3}}{molecule}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bcm%5E%7B3%7D%7D%7Bmolecule%7D?scale=1.5"" alt=""LaTeX: \frac{cm^{3}}{molecule}"" data-equation-content=""\frac{cm^{3}}{molecule}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{cm^{3}}{mol}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bcm%5E%7B3%7D%7D%7Bmol%7D?scale=1.5"" alt=""LaTeX: \frac{cm^{3}}{mol}"" data-equation-content=""\frac{cm^{3}}{mol}"" data-ignore-a11y-check=""""></mattext>. ",0.004844;4.844e-3;4.844E-3;.004844;0.00484;4.84e-3;4.84E-3;.00484;0.0048440;4.8440e-3;4.8440E-3;.0048440;0.004843;4.843e-3;4.843E-3;.004843;0.00484;4.84e-3;4.84E-3;.00484;0.0048430;4.8430e-3;4.8430E-3;.0048430,short_answer
"Convert 14.3 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{L}{mol}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7BL%7D%7Bmol%7D?scale=1.5"" alt=""LaTeX: \frac{L}{mol}"" data-equation-content=""\frac{L}{mol}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{L}{molecule}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7BL%7D%7Bmolecule%7D?scale=1.5"" alt=""LaTeX: \frac{L}{molecule}"" data-equation-content=""\frac{L}{molecule}"" data-ignore-a11y-check=""""></mattext>. ",2.37e-23;2.37e-23;2.37E-23;2.4e-23;2.4e-23;2.4E-23;2.370e-23;2.370e-23;2.370E-23;2.36e-23;2.36e-23;2.36E-23;2.4e-23;2.4e-23;2.4E-23;2.360e-23;2.360e-23;2.360E-23,short_answer
"Convert 0.6994 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{m^{3}}{mol}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bm%5E%7B3%7D%7D%7Bmol%7D?scale=1.5"" alt=""LaTeX: \frac{m^{3}}{mol}"" data-equation-content=""\frac{m^{3}}{mol}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{gal}{mol}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bgal%7D%7Bmol%7D?scale=1.5"" alt=""LaTeX: \frac{gal}{mol}"" data-equation-content=""\frac{gal}{mol}"" data-ignore-a11y-check=""""></mattext>. There are 264.17 gal in one m3.",184.8;1.848e2;1.848E2;185;1.85e2;1.85E2;185.;184.80;1.8480e2;1.8480E2;184.7;1.847e2;1.847E2;185;1.85e2;1.85E2;185.;184.70;1.8470e2;1.8470E2,short_answer
"Convert 2.22 x 10<sup>-26</sup> <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{cal}{molecule}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bcal%7D%7Bmolecule%7D?scale=1.5"" alt=""LaTeX: \frac{cal}{molecule}"" data-equation-content=""\frac{cal}{molecule}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{cal}{mol}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bcal%7D%7Bmol%7D?scale=1.5"" alt=""LaTeX: \frac{cal}{mol}"" data-equation-content=""\frac{cal}{mol}"" data-ignore-a11y-check=""""></mattext>. ",0.0134;1.34e-2;1.34E-2;.0134;0.013;1.3e-2;1.3E-2;.013;0.01340;1.340e-2;1.340E-2;.01340;0.0133;1.33e-2;1.33E-2;.0133;0.013;1.3e-2;1.3E-2;.013;0.01330;1.330e-2;1.330E-2;.01330,short_answer
"Convert 3.6 x 10<sup>-25</sup> <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{cm^{3}}{molecule}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bcm%5E%7B3%7D%7D%7Bmolecule%7D?scale=1.5"" alt=""LaTeX: \frac{cm^{3}}{molecule}"" data-equation-content=""\frac{cm^{3}}{molecule}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{cm^{3}}{mol}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bcm%5E%7B3%7D%7D%7Bmol%7D?scale=1.5"" alt=""LaTeX: \frac{cm^{3}}{mol}"" data-equation-content=""\frac{cm^{3}}{mol}"" data-ignore-a11y-check=""""></mattext>. ",0.22;2.2e-1;2.2E-1;.22;0.2;2e-1;2E-1;.2;0.220;2.20e-1;2.20E-1;.220;0.21;2.1e-1;2.1E-1;.21;0.2;2e-1;2E-1;.2;0.210;2.10e-1;2.10E-1;.210,short_answer
"Convert 0.138 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{kg}{mol}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bkg%7D%7Bmol%7D?scale=1.5"" alt=""LaTeX: \frac{kg}{mol}"" data-equation-content=""\frac{kg}{mol}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{kg}{molecule}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bkg%7D%7Bmolecule%7D?scale=1.5"" alt=""LaTeX: \frac{kg}{molecule}"" data-equation-content=""\frac{kg}{molecule}"" data-ignore-a11y-check=""""></mattext>. ",2.29e-25;2.29e-25;2.29E-25;2.3e-25;2.3e-25;2.3E-25;2.290e-25;2.290e-25;2.290E-25;2.28e-25;2.28e-25;2.28E-25;2.3e-25;2.3e-25;2.3E-25;2.280e-25;2.280e-25;2.280E-25,short_answer
"Convert 1.2 x 10<sup>-25</sup> <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{kJ}{molecule}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7BkJ%7D%7Bmolecule%7D?scale=1.5"" alt=""LaTeX: \frac{kJ}{molecule}"" data-equation-content=""\frac{kJ}{molecule}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{kcal}{molecule}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Bkcal%7D%7Bmolecule%7D?scale=1.5"" alt=""LaTeX: \frac{kcal}{molecule}"" data-equation-content=""\frac{kcal}{molecule}"" data-ignore-a11y-check=""""></mattext>. There are 4.1840 kJ in one kcal.",2.9e-26;2.9e-26;2.9E-26;3e-26;3e-26;3E-26;2.90e-26;2.90e-26;2.90E-26;2.8e-26;2.8e-26;2.8E-26;3e-26;3e-26;3E-26;2.80e-26;2.80e-26;2.80E-26,short_answer
"Convert 9.16 <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{oz}{mol}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Boz%7D%7Bmol%7D?scale=1.5"" alt=""LaTeX: \frac{oz}{mol}"" data-equation-content=""\frac{oz}{mol}"" data-ignore-a11y-check=""""></mattext> to <mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{oz}{molecule}"" src=""https://weber.instructure.com/equation_images/%5Cfrac%7Boz%7D%7Bmolecule%7D?scale=1.5"" alt=""LaTeX: \frac{oz}{molecule}"" data-equation-content=""\frac{oz}{molecule}"" data-ignore-a11y-check=""""></mattext>. ",1.52e-23;1.52e-23;1.52E-23;1.5e-23;1.5e-23;1.5E-23;1.520e-23;1.520e-23;1.520E-23;1.51e-23;1.51e-23;1.51E-23;1.5e-23;1.5e-23;1.5E-23;1.510e-23;1.510e-23;1.510E-23,short_answer
