question,correct_answers,question_type
A new solution is prepared from a 1.6 M stock solution. Calculate the new solution's volume in mL if diluting 0.321 L of stock gives a solution with a concentration of 0.1520 M.,3400;3.4e3;3.4E3;3000;3e3;3E3;3380;3.38e3;3.38E3;3300;3.3e3;3.3E3;3000;3e3;3E3;3.30e3;3.30e3;3.30E3,short_answer
Calculate the molarity of a solution prepared by diluting 0.0224 L of 9.5 M stock solution to 3.9 L.,0.055;5.5e-2;5.5E-2;.055;0.05;5e-2;5E-2;.05;0.0546;5.46e-2;5.46E-2;.0546;0.054;5.4e-2;5.4E-2;.054;0.05;5e-2;5E-2;.05;0.0540;5.40e-2;5.40E-2;.0540,short_answer
What is the molarity of a stock solution of Fe(NO<sub>3</sub>)<sub>3</sub> if diluting 0.080 L of stock to 1.2 L gives a solution with a concentration of 0.00899 M?,0.13;1.3e-1;1.3E-1;.13;0.1;1e-1;1E-1;.1;0.135;1.35e-1;1.35E-1;.135;0.14;1.4e-1;1.4E-1;.14;0.1;1e-1;1E-1;.1;0.140;1.40e-1;1.40E-1;.140,short_answer
What is the molarity of a stock solution of NH<sub>4</sub>Br if diluting 12.1 mL of stock to 390 mL gives a solution with a concentration of 0.0105 M?,0.34;3.4e-1;3.4E-1;.34;0.3;3e-1;3E-1;.3;0.338;3.38e-1;3.38E-1;.338;0.33;3.3e-1;3.3E-1;.33;0.3;3e-1;3E-1;.3;0.330;3.30e-1;3.30E-1;.330,short_answer
A 0.046 M solution of NH<sub>4</sub>Br is prepared by diluting 0.198 L of a 1.848 M stock solution. What is the volume (in mL) of the new solution?,8.0e3;8.0e3;8.0E3;8000;8e3;8E3;7950;7.95e3;7.95E3;7900;7.9e3;7.9E3;8000;8e3;8E3;7.90e3;7.90e3;7.90E3,short_answer
What is the molarity of a stock solution of KNO<sub>3</sub> if diluting 0.00168 L of stock to 592.6 mL gives a solution with a concentration of 0.004 M?,1;1e0;1E0;1.;1.4;1.4e0;1.4E0;2;2e0;2E0;2.;2.0;2.0e0;2.0E0,short_answer
A 0.03304 M solution of NaCl is prepared by diluting 0.3697 L of a 2 M stock solution. What is the volume (in L) of the new solution?,20;2e1;2E1;22;2.2e1;2.2E1;22.;30;3e1;3E1;30.;3.0e1;3.0E1;30..,short_answer
A 0.0384 M solution of NaClO<sub>4</sub> is prepared by diluting a 0.339 M stock solution to 171 mL. What was the volume (in mL) of the aliquot of stock used to prepare the new solution?,19.4;1.94e1;1.94E1;19;1.9e1;1.9E1;19.;19.37;1.937e1;1.937E1;19.3;1.93e1;1.93E1;19;1.9e1;1.9E1;19.;19.30;1.930e1;1.930E1,short_answer
A 0.05 M solution of Pb(NO<sub>3</sub>)<sub>2</sub> is prepared by diluting a 1.1 M stock solution to 545 mL. What was the volume (in mL) of the aliquot of stock used to prepare the new solution?,20;2e1;2E1;25;2.5e1;2.5E1;25.;30;3e1;3E1;30.;3.0e1;3.0E1;30..,short_answer
A new solution is prepared from a 2.775 M stock solution. Calculate the new solution's volume in mL if diluting 0.310 L of stock gives a solution with a concentration of 0.12 M.,7200;7.2e3;7.2E3;7000;7e3;7E3;7170;7.17e3;7.17E3;7100;7.1e3;7.1E3;7000;7e3;7E3;7.10e3;7.10e3;7.10E3,short_answer
