question,correct_answers,incorrect_answers,question_type
What kinds of bonds join the atoms of K<sub>2</sub>S?<br><br>Electronegativity values:<br>K: 0.82<br>S: 2.58,Polar Covalent,Ionic;Nonpolar Covalent,multiple_choice
Classify the bonding of Iodine with Nitrogen.<br><br>Electronegativity values:<br>I: 2.66<br>N: 3.04,Nonpolar Covalent,Ionic;Polar Covalent,multiple_choice
What kinds of bonds join the atoms of ZnO?<br><br>Electronegativity values:<br>Zn: 1.65<br>O: 3.44,Polar Covalent,Ionic;Nonpolar Covalent,multiple_choice
What kinds of bonds join the atoms of SO<sub>3</sub>?<br><br>Electronegativity values:<br>S: 2.58<br>O: 3.44,Polar Covalent,Ionic;Nonpolar Covalent,multiple_choice
What kind of bond do you expect to form between Plutonium and Thulium?<br><br>Electronegativity values:<br>Pu: 1.3<br>Tm: 1.25,Nonpolar Covalent,Ionic;Polar Covalent,multiple_choice
What kinds of bonds join the atoms of KH?<br><br>Electronegativity values:<br>K: 0.82<br>H: 2.2,Polar Covalent,Ionic;Nonpolar Covalent,multiple_choice
What kind of bond do you expect to form between Dy and Cr?<br><br>Electronegativity values:<br>Dy: 1.22<br>Cr: 1.66,Polar Covalent,Ionic;Nonpolar Covalent,multiple_choice
What kinds of bonds join the atoms of SiO<sub>2</sub>?<br><br>Electronegativity values:<br>Si: 1.9<br>O: 3.44,Polar Covalent,Ionic;Nonpolar Covalent,multiple_choice
What kind of bond do you expect to form between U and Zn?<br><br>Electronegativity values:<br>U: 1.7<br>Zn: 1.65,Nonpolar Covalent,Ionic;Polar Covalent,multiple_choice
Classify the bonds in NO<br><br>Electronegativity values:<br>N: 3.04<br>O: 3.44,Nonpolar Covalent,Ionic;Polar Covalent,multiple_choice
Classify the bonding of Francium with Hafnium.<br><br>Electronegativity values:<br>Fr: 0.7<br>Hf: 1.3,Polar Covalent,Ionic;Nonpolar Covalent,multiple_choice
Classify the bonds in V<sub>2</sub>O<sub>5</sub><br><br>Electronegativity values:<br>V: 1.63<br>O: 3.44,Polar Covalent,Ionic;Nonpolar Covalent,multiple_choice
Classify the bonding of Pa with Cs.<br><br>Electronegativity values:<br>Pa: 1.5<br>Cs: 0.79,Polar Covalent,Ionic;Nonpolar Covalent,multiple_choice
Classify the bonding of Gallium with Boron.<br><br>Electronegativity values:<br>Ga: 1.81<br>B: 2.04,Nonpolar Covalent,Ionic;Polar Covalent,multiple_choice
What kinds of bonds join the atoms of CrO<sub>3</sub>?<br><br>Electronegativity values:<br>Cr: 1.66<br>O: 3.44,Polar Covalent,Ionic;Nonpolar Covalent,multiple_choice
What kinds of bonds join the atoms of BeF<sub>2</sub>?<br><br>Electronegativity values:<br>Be: 1.57<br>F: 3.98,Ionic,Polar Covalent;Nonpolar Covalent,multiple_choice
What kinds of bonds join the atoms of O<sub>2</sub>?<br><br>Electronegativity values:<br>O: 3.44,Nonpolar Covalent,Ionic;Polar Covalent,multiple_choice
What kind of bond do you expect to form between Na and Ce?<br><br>Electronegativity values:<br>Na: 0.93<br>Ce: 1.12,Nonpolar Covalent,Ionic;Polar Covalent,multiple_choice
What kind of bond do you expect to form between Titanium and Tantalum?<br><br>Electronegativity values:<br>Ti: 1.54<br>Ta: 1.5,Nonpolar Covalent,Ionic;Polar Covalent,multiple_choice
What kinds of bonds join the atoms of SrF<sub>2</sub>?<br><br>Electronegativity values:<br>Sr: 0.95<br>F: 3.98,Ionic,Polar Covalent;Nonpolar Covalent,multiple_choice
Classify the bonds in H<sub>2</sub>S<br><br>Electronegativity values:<br>H: 2.2<br>S: 2.58,Nonpolar Covalent,Ionic;Polar Covalent,multiple_choice
What kind of bond do you expect to form between B and V?<br><br>Electronegativity values:<br>B: 2.04<br>V: 1.63,Polar Covalent,Ionic;Nonpolar Covalent,multiple_choice
Classify the bonding of Cobalt with Rhenium.<br><br>Electronegativity values:<br>Co: 1.88<br>Re: 1.9,Nonpolar Covalent,Ionic;Polar Covalent,multiple_choice
