question,correct_answers,incorrect_answers,question_type
Select the element with the higher electronegativity value,Oxygen,Phosphorus,multiple_choice
Select the element with the higher electronegativity value,Vanadium,Rubidium,multiple_choice
Which element is the least electronegative?,Sodium,Carbon;Aluminum,multiple_choice
Select the element with the highest electronegativity value,Zinc,Calcium;Potassium,multiple_choice
Select the element with the lowest electronegativity value,Francium,Copper;Potassium,multiple_choice
Select the lower electronegativity element,Potassium,Calcium,multiple_choice
Select the highest electronegativity element,Manganese,Potassium;Calcium,multiple_choice
Select the element with the higher electronegativity value,Silicon,Zinc,multiple_choice
Select the element with the higher electronegativity value,Vanadium,Titanium,multiple_choice
Which element is less electronegative?,Lithium,Nitrogen,multiple_choice
Which element is the most electronegative?,Copper,Rubidium;Cesium,multiple_choice
Which element is the least electronegative?,Chromium,Cobalt;Iron,multiple_choice
Select the lower electronegativity element,Radium,Aluminum,multiple_choice
Select the lowest electronegativity element,Actinium,Fluorine;Carbon,multiple_choice
Select the element with the lower electronegativity value,Potassium,Nitrogen,multiple_choice
Select the element with the lowest electronegativity value,Beryllium,Carbon;Boron,multiple_choice
Select the highest electronegativity element,Silicon,Calcium;Magnesium,multiple_choice
Select the higher electronegativity element,Beryllium,Sodium,multiple_choice
Select the higher electronegativity element,Vanadium,Potassium,multiple_choice
Select the lowest electronegativity element,Potassium,Fluorine;Indium,multiple_choice
Which element is the most electronegative?,Manganese,Scandium;Titanium,multiple_choice
Select the lower electronegativity element,Rhenium,Xenon,multiple_choice
Select the higher electronegativity element,Boron,Copper,multiple_choice
Which element is less electronegative?,Magnesium,Beryllium,multiple_choice
Which element is the most electronegative?,Sulfur,Potassium;Silicon,multiple_choice
Select the highest electronegativity element,Fluorine,Silicon;Aluminum,multiple_choice
Which element is less electronegative?,Copper,Carbon,multiple_choice
Which element is the most electronegative?,Vanadium,Titanium;Potassium,multiple_choice
Select the element with the lowest electronegativity value,Francium,Silver;Cesium,multiple_choice
Select the highest electronegativity element,Cobalt,Calcium;Scandium,multiple_choice
Select the lowest electronegativity element,Aluminum,Boron;Copper,multiple_choice
Which element is the least electronegative?,Potassium,Zinc;Calcium,multiple_choice
Select the element with the lowest electronegativity value,Potassium,Titanium;Scandium,multiple_choice
Select the lower electronegativity element,Scandium,Silicon,multiple_choice
Select the element with the higher electronegativity value,Oxygen,Aluminum,multiple_choice
Select the element with the higher electronegativity value,Hydrogen,Sodium,multiple_choice
Select the highest electronegativity element,Chlorine,Zinc;Phosphorus,multiple_choice
Select the element with the higher electronegativity value,Phosphorus,Scandium,multiple_choice
Which element is the least electronegative?,Titanium,Vanadium;Niobium,multiple_choice
Select the element with the higher electronegativity value,Chromium,Calcium,multiple_choice
Which element is the most electronegative?,Ruthenium,Mercury;Tungsten,multiple_choice
Which element is the least electronegative?,Calcium,Manganese;Scandium,multiple_choice
Select the lower electronegativity element,Potassium,Calcium,multiple_choice
Select the highest electronegativity element,Cobalt,Tantalum;Zinc,multiple_choice
Select the element with the higher electronegativity value,Beryllium,Radium,multiple_choice
Which element is the least electronegative?,Sodium,Nitrogen;Scandium,multiple_choice
Select the lower electronegativity element,Calcium,Silicon,multiple_choice
Select the highest electronegativity element,Manganese,Calcium;Potassium,multiple_choice
Which element is less electronegative?,Calcium,Magnesium,multiple_choice
