question,correct_answers,question_type
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Th(NO_{3})_{4}(aq)+NaIO_{3}(aq)\leftrightarrows{}Th(IO_{3})_{4}(s)+NaNO_{3}(aq)"" src=""https://weber.instructure.com/equation_images/Th%28NO_%7B3%7D%29_%7B4%7D%28aq%29%2BNaIO_%7B3%7D%28aq%29%5Cleftrightarrows%7B%7DTh%28IO_%7B3%7D%29_%7B4%7D%28s%29%2BNaNO_%7B3%7D%28aq%29?scale=1.5"" alt=""LaTeX: Th(NO_{3})_{4}(aq)+NaIO_{3}(aq)\leftrightarrows{}Th(IO_{3})_{4}(s)+NaNO_{3}(aq)"" data-equation-content=""Th(NO_{3})_{4}(aq)+NaIO_{3}(aq)\leftrightarrows{}Th(IO_{3})_{4}(s)+NaNO_{3}(aq)"" data-ignore-a11y-check=""""></mattext>","1,4,1,4;1, 4, 1, 4",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Co(NO_{3})_{2}(aq)+NaOH(aq)\leftrightarrows{}Co(OH)_{2}(s)+NaNO_{3}(aq)"" src=""https://weber.instructure.com/equation_images/Co%28NO_%7B3%7D%29_%7B2%7D%28aq%29%2BNaOH%28aq%29%5Cleftrightarrows%7B%7DCo%28OH%29_%7B2%7D%28s%29%2BNaNO_%7B3%7D%28aq%29?scale=1.5"" alt=""LaTeX: Co(NO_{3})_{2}(aq)+NaOH(aq)\leftrightarrows{}Co(OH)_{2}(s)+NaNO_{3}(aq)"" data-equation-content=""Co(NO_{3})_{2}(aq)+NaOH(aq)\leftrightarrows{}Co(OH)_{2}(s)+NaNO_{3}(aq)"" data-ignore-a11y-check=""""></mattext>","1,2,1,2;1, 2, 1, 2",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Cr(NO_{3})_{3}(aq)+NaIO_{3}(aq)\leftrightarrows{}Cr(IO_{3})_{3}(s)+NaNO_{3}(aq)"" src=""https://weber.instructure.com/equation_images/Cr%28NO_%7B3%7D%29_%7B3%7D%28aq%29%2BNaIO_%7B3%7D%28aq%29%5Cleftrightarrows%7B%7DCr%28IO_%7B3%7D%29_%7B3%7D%28s%29%2BNaNO_%7B3%7D%28aq%29?scale=1.5"" alt=""LaTeX: Cr(NO_{3})_{3}(aq)+NaIO_{3}(aq)\leftrightarrows{}Cr(IO_{3})_{3}(s)+NaNO_{3}(aq)"" data-equation-content=""Cr(NO_{3})_{3}(aq)+NaIO_{3}(aq)\leftrightarrows{}Cr(IO_{3})_{3}(s)+NaNO_{3}(aq)"" data-ignore-a11y-check=""""></mattext>","1,3,1,3;1, 3, 1, 3",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""O_{2}(g)+H_{2}(g)\leftrightarrows{}H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/O_%7B2%7D%28g%29%2BH_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DH_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: O_{2}(g)+H_{2}(g)\leftrightarrows{}H_{2}O(g)"" data-equation-content=""O_{2}(g)+H_{2}(g)\leftrightarrows{}H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>","1,2,2;1, 2, 2",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""N_{2}(g)+H_{2}(g)\leftrightarrows{}NH_{3}(g)"" src=""https://weber.instructure.com/equation_images/N_%7B2%7D%28g%29%2BH_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DNH_%7B3%7D%28g%29?scale=1.5"" alt=""LaTeX: N_{2}(g)+H_{2}(g)\leftrightarrows{}NH_{3}(g)"" data-equation-content=""N_{2}(g)+H_{2}(g)\leftrightarrows{}NH_{3}(g)"" data-ignore-a11y-check=""""></mattext>","1,3,2;1, 3, 2",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Fe(s)+H_{2}O(g)\leftrightarrows{}Fe_{3}O_{4}(s)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/Fe%28s%29%2BH_%7B2%7DO%28g%29%5Cleftrightarrows%7B%7DFe_%7B3%7DO_%7B4%7D%28s%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Fe(s)+H_{2}O(g)\leftrightarrows{}Fe_{3}O_{4}(s)+H_{2}(g)"" data-equation-content=""Fe(s)+H_{2}O(g)\leftrightarrows{}Fe_{3}O_{4}(s)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>","3,4,1,4;3, 4, 1, 4",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""KClO_{3}(s)\leftrightarrows{}KCl(s)+O_{2}(g)"" src=""https://weber.instructure.com/equation_images/KClO_%7B3%7D%28s%29%5Cleftrightarrows%7B%7DKCl%28s%29%2BO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: KClO_{3}(s)\leftrightarrows{}KCl(s)+O_{2}(g)"" data-equation-content=""KClO_{3}(s)\leftrightarrows{}KCl(s)+O_{2}(g)"" data-ignore-a11y-check=""""></mattext>","2,2,3;2, 2, 3",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""S(s)+O_{2}(g)\leftrightarrows{}SO_{2}(g)"" src=""https://weber.instructure.com/equation_images/S%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DSO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: S(s)+O_{2}(g)\leftrightarrows{}SO_{2}(g)"" data-equation-content=""S(s)+O_{2}(g)\leftrightarrows{}SO_{2}(g)"" data-ignore-a11y-check=""""></mattext>","1,1,1;1, 1, 1",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}S(g)+O_{2}(g)\leftrightarrows{}H_{2}O(g)+SO_{2}(g)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7DS%28g%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DH_%7B2%7DO%28g%29%2BSO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: H_{2}S(g)+O_{2}(g)\leftrightarrows{}H_{2}O(g)+SO_{2}(g)"" data-equation-content=""H_{2}S(g)+O_{2}(g)\leftrightarrows{}H_{2}O(g)+SO_{2}(g)"" data-ignore-a11y-check=""""></mattext>","2,3,2,2;2, 3, 2, 2",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""CuSO_{4}(aq)+NaOH(aq)\leftrightarrows{}Cu(OH)_{2}(s)+Na_{2}SO_{4}(aq)"" src=""https://weber.instructure.com/equation_images/CuSO_%7B4%7D%28aq%29%2BNaOH%28aq%29%5Cleftrightarrows%7B%7DCu%28OH%29_%7B2%7D%28s%29%2BNa_%7B2%7DSO_%7B4%7D%28aq%29?scale=1.5"" alt=""LaTeX: CuSO_{4}(aq)+NaOH(aq)\leftrightarrows{}Cu(OH)_{2}(s)+Na_{2}SO_{4}(aq)"" data-equation-content=""CuSO_{4}(aq)+NaOH(aq)\leftrightarrows{}Cu(OH)_{2}(s)+Na_{2}SO_{4}(aq)"" data-ignore-a11y-check=""""></mattext>","1,2,1,1;1, 2, 1, 1",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Al(s)+CuCl_{2}(aq)\leftrightarrows{}AlCl_{3}(aq)+Cu(s)"" src=""https://weber.instructure.com/equation_images/Al%28s%29%2BCuCl_%7B2%7D%28aq%29%5Cleftrightarrows%7B%7DAlCl_%7B3%7D%28aq%29%2BCu%28s%29?scale=1.5"" alt=""LaTeX: Al(s)+CuCl_{2}(aq)\leftrightarrows{}AlCl_{3}(aq)+Cu(s)"" data-equation-content=""Al(s)+CuCl_{2}(aq)\leftrightarrows{}AlCl_{3}(aq)+Cu(s)"" data-ignore-a11y-check=""""></mattext>","2,3,2,3;2, 3, 2, 3",short_answer
