question,correct_answers,question_type
"A student reacts 3.91 g of NaIO<sub>3</sub> and 2.77 g of Cr(NO<sub>3</sub>)<sub>3</sub> through the following reaction. How much excess reactant (in g) remains at the end of the reaction?<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""Cr(NO_{3})_{3}(aq)+3NaIO_{3}(aq)\leftrightarrows{}Cr(IO_{3})_{3}(s)+3NaNO_{3}(aq)"" src=""https://weber.instructure.com/equation_images/Cr%28NO_%7B3%7D%29_%7B3%7D%28aq%29%2B3NaIO_%7B3%7D%28aq%29%5Cleftrightarrows%7B%7DCr%28IO_%7B3%7D%29_%7B3%7D%28s%29%2B3NaNO_%7B3%7D%28aq%29?scale=1.5"" alt=""LaTeX: Cr(NO_{3})_{3}(aq)+3NaIO_{3}(aq)\leftrightarrows{}Cr(IO_{3})_{3}(s)+3NaNO_{3}(aq)"" data-equation-content=""Cr(NO_{3})_{3}(aq)+3NaIO_{3}(aq)\leftrightarrows{}Cr(IO_{3})_{3}(s)+3NaNO_{3}(aq)"" data-ignore-a11y-check=""""></mattext><br><br>Cr(NO<sub>3</sub>)<sub>3</sub>: 238.01 g/mol<br>NaIO<sub>3</sub>: 197.891 g/mol<br>Cr(IO<sub>3</sub>)<sub>3</sub>: 576.701 g/mol<br>NaNO<sub>3</sub>: 84.994 g/mol",1.20;1.20e0;1.20E0;1.2;1.2e0;1.2E0;1.202;1.202e0;1.202E0;1.21;1.21e0;1.21E0;1.2;1.2e0;1.2E0;1.210;1.210e0;1.210E0,short_answer
"How many grams of excess reactant remain when 0.11 g of CuCl<sub>2</sub> react with 0.02551 g of Al?<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Al(s)+3CuCl_{2}(aq)\leftrightarrows{}2AlCl_{3}(aq)+3Cu(s)"" src=""https://weber.instructure.com/equation_images/2Al%28s%29%2B3CuCl_%7B2%7D%28aq%29%5Cleftrightarrows%7B%7D2AlCl_%7B3%7D%28aq%29%2B3Cu%28s%29?scale=1.5"" alt=""LaTeX: 2Al(s)+3CuCl_{2}(aq)\leftrightarrows{}2AlCl_{3}(aq)+3Cu(s)"" data-equation-content=""2Al(s)+3CuCl_{2}(aq)\leftrightarrows{}2AlCl_{3}(aq)+3Cu(s)"" data-ignore-a11y-check=""""></mattext><br><br>Al: 26.981538 g/mol<br>CuCl<sub>2</sub>: 134.45 g/mol<br>AlCl<sub>3</sub>: 133.3 g/mol<br>Cu: 63.546 g/mol",0.011;1.1e-2;1.1E-2;.011;0.01;1e-2;1E-2;.01;0.0108;1.08e-2;1.08E-2;.0108;0.010;1e-2;1E-2;.010;0.0100;1.0e-2;1.0E-2;.0100,short_answer
"A student reacts 3.490 g of BaCl<sub>2</sub> and 1.07 g of H<sub>2</sub>SO<sub>4</sub> through the following reaction. How much excess reactant (in g) remains at the end of the reaction?<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""BaCl_{2}(aq)+H_{2}SO_{4}(aq)\leftrightarrows{}BaSO_{4}(s)+2HCl(aq)"" src=""https://weber.instructure.com/equation_images/BaCl_%7B2%7D%28aq%29%2BH_%7B2%7DSO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DBaSO_%7B4%7D%28s%29%2B2HCl%28aq%29?scale=1.5"" alt=""LaTeX: BaCl_{2}(aq)+H_{2}SO_{4}(aq)\leftrightarrows{}BaSO_{4}(s)+2HCl(aq)"" data-equation-content=""BaCl_{2}(aq)+H_{2}SO_{4}(aq)\leftrightarrows{}BaSO_{4}(s)+2HCl(aq)"" data-ignore-a11y-check=""""></mattext><br><br>BaCl<sub>2</sub>: 208.23 g/mol<br>H<sub>2</sub>SO<sub>4</sub>: 98.07 g/mol<br>BaSO<sub>4</sub>: 233.38 g/mol<br>HCl: 36.46 g/mol",1.22;1.22e0;1.22E0;1.2;1.2e0;1.2E0;1.218;1.218e0;1.218E0;1.21;1.21e0;1.21E0;1.2;1.2e0;1.2E0;1.210;1.210e0;1.210E0,short_answer
"How many grams of NaNO<sub>3</sub> can be produced by reacting 0.082 g of NaCl with 0.16 g of Pb(NO<sub>3</sub>)<sub>2</sub>?<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""2NaCl(aq)+Pb(NO_{3})_{2}(aq)\leftrightarrows{}PbCl_{2}(s)+2NaNO_{3}(aq)"" src=""https://weber.instructure.com/equation_images/2NaCl%28aq%29%2BPb%28NO_%7B3%7D%29_%7B2%7D%28aq%29%5Cleftrightarrows%7B%7DPbCl_%7B2%7D%28s%29%2B2NaNO_%7B3%7D%28aq%29?scale=1.5"" alt=""LaTeX: 2NaCl(aq)+Pb(NO_{3})_{2}(aq)\leftrightarrows{}PbCl_{2}(s)+2NaNO_{3}(aq)"" data-equation-content=""2NaCl(aq)+Pb(NO_{3})_{2}(aq)\leftrightarrows{}PbCl_{2}(s)+2NaNO_{3}(aq)"" data-ignore-a11y-check=""""></mattext><br><br>NaCl: 58.44 g/mol<br>Pb(NO<sub>3</sub>)<sub>2</sub>: 331.2 g/mol<br>PbCl<sub>2</sub>: 278.1 g/mol<br>NaNO<sub>3</sub>: 84.994 g/mol",0.082;8.2e-2;8.2E-2;.082;0.08;8e-2;8E-2;.08;0.0821;8.21e-2;8.21E-2;.0821;0.083;8.3e-2;8.3E-2;.083;0.08;8e-2;8E-2;.08;0.0830;8.30e-2;8.30E-2;.0830,short_answer
"How much H<sub>2</sub>O (in g) can be produced by reacting 6.63 g of LiOH with 9.7 g of H<sub>2</sub>SO<sub>4</sub>?<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}SO_{4}(aq)+2LiOH(aq)\leftrightarrows{}Li_{2}SO_{4}(aq)+2H_{2}O(l)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7DSO_%7B4%7D%28aq%29%2B2LiOH%28aq%29%5Cleftrightarrows%7B%7DLi_%7B2%7DSO_%7B4%7D%28aq%29%2B2H_%7B2%7DO%28l%29?scale=1.5"" alt=""LaTeX: H_{2}SO_{4}(aq)+2LiOH(aq)\leftrightarrows{}Li_{2}SO_{4}(aq)+2H_{2}O(l)"" data-equation-content=""H_{2}SO_{4}(aq)+2LiOH(aq)\leftrightarrows{}Li_{2}SO_{4}(aq)+2H_{2}O(l)"" data-ignore-a11y-check=""""></mattext><br><br>H<sub>2</sub>SO<sub>4</sub>: 98.07 g/mol<br>LiOH: 23.95 g/mol<br>Li<sub>2</sub>SO<sub>4</sub>: 109.9 g/mol<br>H<sub>2</sub>O: 18.015 g/mol",3.6;3.6e0;3.6E0;4;4e0;4E0;4.;3.56;3.56e0;3.56E0;3.5;3.5e0;3.5E0;4;4e0;4E0;4.;3.50;3.50e0;3.50E0,short_answer
"A student reacts 1.9 g of NH<sub>3</sub> and 2.5 g of O<sub>2</sub> through the following reaction. How much excess reactant (in g) remains at the end of the reaction?<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""4NH_{3}(g)+5O_{2}(g)\leftrightarrows{}4NO(g)+6H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/4NH_%7B3%7D%28g%29%2B5O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D4NO%28g%29%2B6H_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: 4NH_{3}(g)+5O_{2}(g)\leftrightarrows{}4NO(g)+6H_{2}O(g)"" data-equation-content=""4NH_{3}(g)+5O_{2}(g)\leftrightarrows{}4NO(g)+6H_{2}O(g)"" data-ignore-a11y-check=""""></mattext><br><br>NH<sub>3</sub>: 17.031 g/mol<br>O<sub>2</sub>: 31.998 g/mol<br>NO: 30.006 g/mol<br>H<sub>2</sub>O: 18.015 g/mol",0.8;8e-1;8E-1;.8;0.84;8.4e-1;8.4E-1;.84;0.9;9e-1;9E-1;.9;0.90;9.0e-1;9.0E-1;.90,short_answer
"How many grams of excess reactant remain when 2.5 g of HCl react with 2.6 g of Ca?<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""2HCl(aq)+Ca(s)\leftrightarrows{}CaCl_{2}(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2HCl%28aq%29%2BCa%28s%29%5Cleftrightarrows%7B%7DCaCl_%7B2%7D%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2HCl(aq)+Ca(s)\leftrightarrows{}CaCl_{2}(aq)+H_{2}(g)"" data-equation-content=""2HCl(aq)+Ca(s)\leftrightarrows{}CaCl_{2}(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext><br><br>HCl: 36.46 g/mol<br>Ca: 40.078 g/mol<br>CaCl<sub>2</sub>: 110.98 g/mol<br>H<sub>2</sub>: 2.016 g/mol",1.2;1.2e0;1.2E0;1;1e0;1E0;1.;1.23;1.23e0;1.23E0;1.3;1.3e0;1.3E0;1;1e0;1E0;1.;1.30;1.30e0;1.30E0,short_answer
"How many grams of CO<sub>2</sub> can be produced by reacting 1.91 g of CO with 4.55 g of Fe<sub>2</sub>O<sub>3</sub>?<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""Fe_{2}O_{3}(s)+3CO(g)\leftrightarrows{}2Fe(s)+3CO_{2}(g)"" src=""https://weber.instructure.com/equation_images/Fe_%7B2%7DO_%7B3%7D%28s%29%2B3CO%28g%29%5Cleftrightarrows%7B%7D2Fe%28s%29%2B3CO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Fe_{2}O_{3}(s)+3CO(g)\leftrightarrows{}2Fe(s)+3CO_{2}(g)"" data-equation-content=""Fe_{2}O_{3}(s)+3CO(g)\leftrightarrows{}2Fe(s)+3CO_{2}(g)"" data-ignore-a11y-check=""""></mattext><br><br>Fe<sub>2</sub>O<sub>3</sub>: 159.69 g/mol<br>CO: 28.010 g/mol<br>Fe: 55.845 g/mol<br>CO<sub>2</sub>: 44.009 g/mol",3.00;3.00e0;3.00E0;3.0;3.0e0;3.0E0;3.001;3.001e0;3.001E0;3.01;3.01e0;3.01E0;3.0;3.0e0;3.0E0;3.010;3.010e0;3.010E0,short_answer
"How many grams of Cu(OH)<sub>2</sub> can be produced by reacting 2.67 g of NaOH with 8.32 g of CuSO<sub>4</sub>?<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""CuSO_{4}(aq)+2NaOH(aq)\leftrightarrows{}Cu(OH)_{2}(s)+Na_{2}SO_{4}(aq)"" src=""https://weber.instructure.com/equation_images/CuSO_%7B4%7D%28aq%29%2B2NaOH%28aq%29%5Cleftrightarrows%7B%7DCu%28OH%29_%7B2%7D%28s%29%2BNa_%7B2%7DSO_%7B4%7D%28aq%29?scale=1.5"" alt=""LaTeX: CuSO_{4}(aq)+2NaOH(aq)\leftrightarrows{}Cu(OH)_{2}(s)+Na_{2}SO_{4}(aq)"" data-equation-content=""CuSO_{4}(aq)+2NaOH(aq)\leftrightarrows{}Cu(OH)_{2}(s)+Na_{2}SO_{4}(aq)"" data-ignore-a11y-check=""""></mattext><br><br>CuSO<sub>4</sub>: 159.60 g/mol<br>NaOH: 39.997 g/mol<br>Cu(OH)<sub>2</sub>: 97.560 g/mol<br>Na<sub>2</sub>SO<sub>4</sub>: 142.04 g/mol",3.26;3.26e0;3.26E0;3.3;3.3e0;3.3E0;3.256;3.256e0;3.256E0;3.25;3.25e0;3.25E0;3.3;3.3e0;3.3E0;3.250;3.250e0;3.250E0,short_answer
"How many grams of KCl can be produced by reacting 1.77 g of KI with 0.4552 g of Cl<sub>2</sub>?<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""2KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" src=""https://weber.instructure.com/equation_images/2KI%28aq%29%2BCl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2KCl%28aq%29%2BI_%7B2%7D%28s%29?scale=1.5"" alt=""LaTeX: 2KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" data-equation-content=""2KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" data-ignore-a11y-check=""""></mattext><br><br>KI: 166.0028 g/mol<br>Cl<sub>2</sub>: 70.90 g/mol<br>KCl: 74.55 g/mol<br>I<sub>2</sub>: 253.80894 g/mol",0.795;7.95e-1;7.95E-1;.795;0.79;7.9e-1;7.9E-1;.79;0.7949;7.949e-1;7.949E-1;.7949;0.794;7.94e-1;7.94E-1;.794;0.79;7.9e-1;7.9E-1;.79;0.7940;7.940e-1;7.940E-1;.7940,short_answer
