question,correct_answers,question_type
How many grams of Th(IO<sub>3</sub>)<sub>4</sub> can be produced from the reaction of 29 mL of 7.81 M NaIO<sub>3</sub> with excess thorium (IV) nitrate according to the following reaction?<br><br>Th(NO<sub>3</sub>)<sub>4</sub>(aq) + 4NaIO<sub>3</sub>(aq) &rarr; Th(IO<sub>3</sub>)<sub>4</sub>(s) + 4NaNO<sub>3</sub>(aq)<br><br><em>(Use decimal notation and the units of g for your answer)</em>,53;5.3e1;5.3E1;53.;52;5.2e1;5.2E1;52.;53g;5.3e1g;5.3E1g;53.g;52g;5.2e1g;5.2E1g;52.g;53 g;5.3e1 g;5.3E1 g;53. g;52 g;5.2e1 g;5.2E1 g;52. g,short_answer
How many grams of Fe(OH)<sub>2</sub> can be produced from the reaction of 40.9 mL of 7.53 M NaOH with excess iron (II) nitrate according to the following reaction?<br><br>Fe(NO<sub>3</sub>)<sub>2</sub>(aq) + 2NaOH(aq) &rarr; Fe(OH)<sub>2</sub>(s) + 2NaNO<sub>3</sub>(aq)<br><br><em>(Use decimal notation and the units of g for your answer)</em>,13.8;1.38e1;1.38E1;13.9;1.39e1;1.39E1;13.8g;1.38e1g;1.38E1g;13.9g;1.39e1g;1.39E1g;13.8 g;1.38e1 g;1.38E1 g;13.9 g;1.39e1 g;1.39E1 g,short_answer
How many grams of LaF<sub>3</sub> can be produced from the reaction of 43 mL of 4.1 M NaF with excess lanthanum (III) nitrate according to the following reaction?<br><br>La(NO<sub>3</sub>)<sub>3</sub>(aq) + 3NaF(aq) &rarr; LaF<sub>3</sub>(s) + 3NaNO<sub>3</sub>(aq)<br><br><em>(Use decimal notation and the units of g for your answer)</em>,12;1.2e1;1.2E1;12.;11;1.1e1;1.1E1;11.;12g;1.2e1g;1.2E1g;12.g;11g;1.1e1g;1.1E1g;11.g;12 g;1.2e1 g;1.2E1 g;12. g;11 g;1.1e1 g;1.1E1 g;11. g,short_answer
How many grams of Fe(OH)<sub>2</sub> can be produced from the reaction of 27.8 mL of 5.14 M NaOH with excess iron (II) nitrate according to the following reaction?<br><br>Fe(NO<sub>3</sub>)<sub>2</sub>(aq) + 2NaOH(aq) &rarr; Fe(OH)<sub>2</sub>(s) + 2NaNO<sub>3</sub>(aq)<br><br><em>(Use decimal notation and the units of g for your answer)</em>,6.42;6.42e0;6.42E0;6.43;6.43e0;6.43E0;6.42g;6.42e0g;6.42E0g;6.43g;6.43e0g;6.43E0g;6.42 g;6.42e0 g;6.42E0 g;6.43 g;6.43e0 g;6.43E0 g,short_answer
How many grams of Cr(IO<sub>3</sub>)<sub>3</sub> can be produced from the reaction of 43 mL of 6.2 M NaIO<sub>3</sub> with excess chromium (III) nitrate according to the following reaction?<br><br>Cr(NO<sub>3</sub>)<sub>3</sub>(aq) + 3NaIO<sub>3</sub>(aq) &rarr; Cr(IO<sub>3</sub>)<sub>3</sub>(s) + 3NaNO<sub>3</sub>(aq)<br><br><em>(Use decimal notation and the units of g for your answer)</em>,51;5.1e1;5.1E1;51.;52;5.2e1;5.2E1;52.;51g;5.1e1g;5.1E1g;51.g;52g;5.2e1g;5.2E1g;52.g;51 g;5.1e1 g;5.1E1 g;51. g;52 g;5.2e1 g;5.2E1 g;52. g,short_answer
How many grams of Th(IO<sub>3</sub>)<sub>4</sub> can be produced from the reaction of 41 mL of 4.89 M NaIO<sub>3</sub> with excess thorium (IV) nitrate according to the following reaction?<br><br>Th(NO<sub>3</sub>)<sub>4</sub>(aq) + 4NaIO<sub>3</sub>(aq) &rarr; Th(IO<sub>3</sub>)<sub>4</sub>(s) + 4NaNO<sub>3</sub>(aq)<br><br><em>(Use decimal notation and the units of g for your answer)</em>,47;4.7e1;4.7E1;47.;46;4.6e1;4.6E1;46.;47g;4.7e1g;4.7E1g;47.g;46g;4.6e1g;4.6E1g;46.g;47 g;4.7e1 g;4.7E1 g;47. g;46 g;4.6e1 g;4.6E1 g;46. g,short_answer
How many grams of Fe(OH)<sub>3</sub> can be produced from the reaction of 42.7 mL of 5.13 M NaOH with excess iron (III) nitrate according to the following reaction?<br><br>Fe(NO<sub>3</sub>)<sub>3</sub>(aq) + 3NaOH(aq) &rarr; Fe(OH)<sub>3</sub>(s) + 3NaNO<sub>3</sub>(aq)<br><br><em>(Use decimal notation and the units of g for your answer)</em>,7.80;7.80e0;7.80E0;7.81;7.81e0;7.81E0;7.80g;7.80e0g;7.80E0g;7.81g;7.81e0g;7.81E0g;7.80 g;7.80e0 g;7.80E0 g;7.81 g;7.81e0 g;7.81E0 g,short_answer
How many grams of PbCl<sub>2</sub> can be produced from the reaction of 42.3 mL of 8.81 M NaCl with excess lead (II) nitrate according to the following reaction?<br><br>Pb(NO<sub>3</sub>)<sub>2</sub>(aq) + 2NaCl(aq) &rarr; PbCl<sub>2</sub>(s) + 2NaNO<sub>3</sub>(aq)<br><br><em>(Use decimal notation and the units of g for your answer)</em>,51.8;5.18e1;5.18E1;51.9;5.19e1;5.19E1;51.8g;5.18e1g;5.18E1g;51.9g;5.19e1g;5.19E1g;51.8 g;5.18e1 g;5.18E1 g;51.9 g;5.19e1 g;5.19E1 g,short_answer
How many grams of PbBr<sub>2</sub> can be produced from the reaction of 20. mL of 6.11 M NaBr with excess lead (II) nitrate according to the following reaction?<br><br>Pb(NO<sub>3</sub>)<sub>2</sub>(aq) + 2NaBr(aq) &rarr; PbBr<sub>2</sub>(s) + 2NaNO<sub>3</sub>(aq)<br><br><em>(Use decimal notation and the units of g for your answer)</em>,22;2.2e1;2.2E1;22.;23;2.3e1;2.3E1;23.;22g;2.2e1g;2.2E1g;22.g;23g;2.3e1g;2.3E1g;23.g;22 g;2.2e1 g;2.2E1 g;22. g;23 g;2.3e1 g;2.3E1 g;23. g,short_answer
How many grams of Fe(OH)<sub>2</sub> can be produced from the reaction of 44 mL of 5.4 M NaOH with excess iron (II) nitrate according to the following reaction?<br><br>Fe(NO<sub>3</sub>)<sub>2</sub>(aq) + 2NaOH(aq) &rarr; Fe(OH)<sub>2</sub>(s) + 2NaNO<sub>3</sub>(aq)<br><br><em>(Use decimal notation and the units of g for your answer)</em>,11;1.1e1;1.1E1;11.;10.;1.0e1;1.0E1;10..;11g;1.1e1g;1.1E1g;11.g;10.g;1.0e1g;1.0E1g;10..g;11 g;1.1e1 g;1.1E1 g;11. g;10. g;1.0e1 g;1.0E1 g;10.. g,short_answer
