question,correct_answers,question_type
"Does the following measurement agree with the known value of 6 s at the 99 % confidence level?<br>5 ± 2 s, n = 60",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 0.0153 W at the 99 % confidence level?<br>0.0144 ± 0.0012 W, n = 25",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 86 Hz at the 99 % confidence level?<br>90. ± 5 Hz, n = 15",No;no;N;n,short_answer
"Is the value 1.0e4 A in the 99 % confidence interval for the following measurement?<br>3.9e3 ± 1.6e3 A, n = 3",Yes;yes;Y;y,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>90 ± 40 mA, n = 8<br>Use the ± symbol in your answer.",90 ± 50;90±50;9e1 ± 5e1;9e1±5e1,short_answer
"Does the following measurement agree with the known value of 0.067 mL at the 95 % confidence level?<br>0.065 ± 0.019 mL, n = 120",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 100 mL at the 99.9 % confidence level?<br>230 ± 110 mL, n = 10",Yes;yes;Y;y,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.74 ± 0.05 kJ, n = 20<br>Use the ± symbol in your answer.",0.74 ± 0.02;0.74±0.02;7.4e-1 ± 2e-2;7.4e-1±2e-2,short_answer
"Does the following measurement agree with the known value of 0.23 K at the 99 % confidence level?<br>0.33 ± 0.14 K, n = 15",Yes;yes;Y;y,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>60 ± 20 M, n = 7<br>Use the ± symbol in your answer.",60. ± 15;60.±15;6.0e1 ± 1.5e1;6.0e1±1.5e1,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>1.07e3 ± 1.7e2 Torr, n = 5<br>Use the ± symbol in your answer.",1070 ± 60;1070±60;1.07e3 ± 6e1;1.07e3±6e1,short_answer
"Is the value 0.19 mol in the 95 % confidence interval for the following measurement?<br>0.17 ± 0.04 mol, n = 30",No;no;N;n,short_answer
"Is the value 1.8 M in the 99 % confidence interval for the following measurement?<br>1.3 ± 0.6 M, n = 6",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>1.9e3 ± 6e2 mL, n = 7<br>Use the ± symbol in your answer.",1900 ± 1400;1900±1400;1.9e3 ± 1.4e3;1.9e3±1.4e3,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>11.1 ± 1.6 L, n = 25<br>Use the ± symbol in your answer.",11.1 ± 0.2;11.1±0.2;1.11e1 ± 2e-1;1.11e1±2e-1,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.021 ± 0.002 ms, n = 60<br>Use the ± symbol in your answer.",0.0210 ± 0.0007;0.0210±0.0007;2.10e-2 ± 7e-4;2.10e-2±7e-4,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.5 ± 0.2 mL, n = 10<br>Use the ± symbol in your answer.",0.50 ± 0.12;0.50±0.12;5.0e-1 ± 1.2e-1;5.0e-1±1.2e-1,short_answer
"Is the value 500 mol in the 99.9 % confidence interval for the following measurement?<br>270 ± 70 mol, n = 4",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of -0.01 W at the 99.9 % confidence level?<br>0.034 ± 0.005 W, n = 4",No;no;N;n,short_answer
"Is the value 4200 ns in the 50 % confidence interval for the following measurement?<br>4.4e3 ± 5e2 ns, n = 6",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>16.2 ± 0.9 nm, n = 30<br>Use the ± symbol in your answer.",16.20 ± 0.11;16.20±0.11;1.620e1 ± 1.1e-1;1.620e1±1.1e-1,short_answer
"Is the value 0.02 ms in the 99.9 % confidence interval for the following measurement?<br>0.16 ± 0.08 ms, n = 10",No;no;N;n,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>1.03e3 ± 6e1 W, n = 40<br>Use the ± symbol in your answer.",1030 ± 30;1030±30;1.03e3 ± 3e1;1.03e3±3e1,short_answer
"Is the value 7000 K in the 50 % confidence interval for the following measurement?<br>8e3 ± 4e3 K, n = 9",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 1.00e4 mL at the 90 % confidence level?<br>9.0e3 ± 1.7e3 mL, n = 9",Yes;yes;Y;y,short_answer
"Is the value 0.035 ms in the 99 % confidence interval for the following measurement?<br>0.038 ± 0.013 ms, n = 120",Yes;yes;Y;y,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.12 ± 0.06 mM, n = 3<br>Use the ± symbol in your answer.",0.12 ± 0.03;0.12±0.03;1.2e-1 ± 3e-2;1.2e-1±3e-2,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>150 ± 50 V, n = 3<br>Use the ± symbol in your answer.",150 ± 20;150±20;1.5e2 ± 2e1;1.5e2±2e1,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>55 ± 18 yr, n = 10<br>Use the ± symbol in your answer.",60 ± 30;60±30;6e1 ± 3e1;6e1±3e1,short_answer
"Is the value 2700 J in the 90 % confidence interval for the following measurement?<br>2.0e3 ± 6e2 J, n = 5",No;no;N;n,short_answer
"Is the value 0.08 A in the 50 % confidence interval for the following measurement?<br>0.08 ± 0.03 A, n = 6",Yes;yes;Y;y,short_answer
"Is the value 1500 kg in the 95 % confidence interval for the following measurement?<br>1.2e3 ± 6e2 kg, n = 20",No;no;N;n,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.26 ± 0.05 m, n = 5<br>Use the ± symbol in your answer.",0.26 ± 0.10;0.26±0.10;2.6e-1 ± 1.0e-1;2.6e-1±1.0e-1,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>1.8e3 ± 3e2 N, n = 20<br>Use the ± symbol in your answer.",1800 ± 300;1800±300;1.8e3 ± 3e2;1.8e3±3e2,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.09 ± 0.04 kcal, n = 7<br>Use the ± symbol in your answer.",0.090 ± 0.011;0.090±0.011;9.0e-2 ± 1.1e-2;9.0e-2±1.1e-2,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.91 ± 0.15 g, n = 25<br>Use the ± symbol in your answer.",0.91 ± 0.08;0.91±0.08;9.1e-1 ± 8e-2;9.1e-1±8e-2,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>7 ± 3 ms, n = 4<br>Use the ± symbol in your answer.",7 ± 4;7±4;7e0 ± 4e0;7e0±4e0,short_answer
"Does the following measurement agree with the known value of 0.10 mbar at the 90 % confidence level?<br>0.11 ± 0.03 mbar, n = 60",No;no;N;n,short_answer
"Is the value 0.41 mol in the 95 % confidence interval for the following measurement?<br>0.40 ± 0.04 mol, n = 60",Yes;yes;Y;y,short_answer
"Is the value 1.0 kV in the 50 % confidence interval for the following measurement?<br>0.9 ± 0.4 kV, n = 7",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>560 ± 180 yr, n = 4<br>Use the ± symbol in your answer.",600 ± 1200;600±1200;6e2 ± 1.2e3;6e2±1.2e3,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>4.4 ± 1.8 s, n = 30<br>Use the ± symbol in your answer.",4.4 ± 0.2;4.4±0.2;4.4e0 ± 2e-1;4.4e0±2e-1,short_answer
"Does the following measurement agree with the known value of 0.05 kPa at the 95 % confidence level?<br>0.035 ± 0.005 kPa, n = 4",No;no;N;n,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>130 ± 30 s, n = 60<br>Use the ± symbol in your answer.",130. ± 13;130.±13;1.30e2 ± 1.3e1;1.30e2±1.3e1,short_answer
"Is the value 0.6 yr in the 95 % confidence interval for the following measurement?<br>0.7 ± 0.3 yr, n = 60",No;no;N;n,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>50 ± 20 Torr, n = 20<br>Use the ± symbol in your answer.",50. ± 9;50.±9;5.0e1 ± 9e0;5.0e1±9e0,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>2.4 ± 0.7 nm, n = 20<br>Use the ± symbol in your answer.",2.40 ± 0.11;2.40±0.11;2.40e0 ± 1.1e-1;2.40e0±1.1e-1,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>170 ± 30 bar, n = 40<br>Use the ± symbol in your answer.",170 ± 20;170±20;1.7e2 ± 2e1;1.7e2±2e1,short_answer
"Does the following measurement agree with the known value of 30. atm at the 90 % confidence level?<br>29 ± 2 atm, n = 4",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>10.5 ± 1.4 V, n = 25<br>Use the ± symbol in your answer.",10.5 ± 1.0;10.5±1.0;1.05e1 ± 1.0e0;1.05e1±1.0e0,short_answer
"Does the following measurement agree with the known value of 3100 h at the 99.9 % confidence level?<br>2.4e3 ± 1.2e3 h, n = 30",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 4.7 g at the 90 % confidence level?<br>4.9 ± 0.4 g, n = 15",No;no;N;n,short_answer
"Is the value 0.028 K in the 95 % confidence interval for the following measurement?<br>0.032 ± 0.015 K, n = 60",No;no;N;n,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>8 ± 2 kJ, n = 15<br>Use the ± symbol in your answer.",8 ± 2;8±2;8e0 ± 2e0;8e0±2e0,short_answer
"Does the following measurement agree with the known value of 148 M at the 50 % confidence level?<br>146 ± 19 M, n = 25",Yes;yes;Y;y,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>120 ± 40 Pa, n = 15<br>Use the ± symbol in your answer.",120 ± 20;120±20;1.2e2 ± 2e1;1.2e2±2e1,short_answer
"Is the value 0.68 kg in the 50 % confidence interval for the following measurement?<br>0.74 ± 0.16 kg, n = 4",Yes;yes;Y;y,short_answer
"Is the value 1700 kV in the 90 % confidence interval for the following measurement?<br>1.6e3 ± 7e2 kV, n = 120",Yes;yes;Y;y,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>1.7 ± 0.7 Hz, n = 3<br>Use the ± symbol in your answer.",2 ± 4;2±4;2e0 ± 4e0;2e0±4e0,short_answer
"Does the following measurement agree with the known value of 0.4 nm at the 99.9 % confidence level?<br>0.53 ± 0.16 nm, n = 15",Yes;yes;Y;y,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>410 ± 90 nm, n = 7<br>Use the ± symbol in your answer.",410 ± 70;410±70;4.1e2 ± 7e1;4.1e2±7e1,short_answer
"Does the following measurement agree with the known value of 150 atm at the 95 % confidence level?<br>210 ± 90 atm, n = 7",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 54 Torr at the 95 % confidence level?<br>46 ± 16 Torr, n = 25",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 0.60 V at the 95 % confidence level?<br>0.54 ± 0.07 V, n = 6",Yes;yes;Y;y,short_answer
