question,correct_answers,question_type
"Write the mass balance for a 0.002 M solution of propanoic acid<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{3}H_{6}O_{2}\leftrightarrow{}C_{3}H_{5}O_{2}^{-}"" src=""https://weber.instructure.com/equation_images/C_%7B3%7DH_%7B6%7DO_%7B2%7D%5Cleftrightarrow%7B%7DC_%7B3%7DH_%7B5%7DO_%7B2%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: C_{3}H_{6}O_{2}\leftrightarrow{}C_{3}H_{5}O_{2}^{-}"" data-equation-content=""C_{3}H_{6}O_{2}\leftrightarrow{}C_{3}H_{5}O_{2}^{-}"" data-ignore-a11y-check=""""></mattext>",0.002=[C3H6O2]+[C3H5O2-];0.002=[C3H5O2-]+[C3H6O2],short_answer
"Write the mass balance for a 0.00148 M solution of piperidine<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{5}H_{12}N^{+}\leftrightarrow{}C_{5}H_{11}N"" src=""https://weber.instructure.com/equation_images/C_%7B5%7DH_%7B12%7DN%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B5%7DH_%7B11%7DN?scale=1.5"" alt=""LaTeX: C_{5}H_{12}N^{+}\leftrightarrow{}C_{5}H_{11}N"" data-equation-content=""C_{5}H_{12}N^{+}\leftrightarrow{}C_{5}H_{11}N"" data-ignore-a11y-check=""""></mattext>",0.00148=[C5H12N+]+[C5H11N];0.00148=[C5H11N]+[C5H12N+],short_answer
"Write the mass balance for a 0.00704 M solution of sodium acetate<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{2}H_{4}O_{2}\leftrightarrow{}C_{2}H_{3}O_{2}^{-}"" src=""https://weber.instructure.com/equation_images/C_%7B2%7DH_%7B4%7DO_%7B2%7D%5Cleftrightarrow%7B%7DC_%7B2%7DH_%7B3%7DO_%7B2%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: C_{2}H_{4}O_{2}\leftrightarrow{}C_{2}H_{3}O_{2}^{-}"" data-equation-content=""C_{2}H_{4}O_{2}\leftrightarrow{}C_{2}H_{3}O_{2}^{-}"" data-ignore-a11y-check=""""></mattext>",0.00704=[C2H4O2]+[C2H3O2-];0.00704=[C2H3O2-]+[C2H4O2],short_answer
"Write the mass balance for a 0.003 M solution of piperidine<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{5}H_{12}N^{+}\leftrightarrow{}C_{5}H_{11}N"" src=""https://weber.instructure.com/equation_images/C_%7B5%7DH_%7B12%7DN%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B5%7DH_%7B11%7DN?scale=1.5"" alt=""LaTeX: C_{5}H_{12}N^{+}\leftrightarrow{}C_{5}H_{11}N"" data-equation-content=""C_{5}H_{12}N^{+}\leftrightarrow{}C_{5}H_{11}N"" data-ignore-a11y-check=""""></mattext>",0.003=[C5H12N+]+[C5H11N];0.003=[C5H11N]+[C5H12N+],short_answer
"Write the mass balance for a 0.005 M solution of piperidine HCl<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{5}H_{12}N^{+}\leftrightarrow{}C_{5}H_{11}N"" src=""https://weber.instructure.com/equation_images/C_%7B5%7DH_%7B12%7DN%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B5%7DH_%7B11%7DN?scale=1.5"" alt=""LaTeX: C_{5}H_{12}N^{+}\leftrightarrow{}C_{5}H_{11}N"" data-equation-content=""C_{5}H_{12}N^{+}\leftrightarrow{}C_{5}H_{11}N"" data-ignore-a11y-check=""""></mattext>",0.005=[C5H12N+]+[C5H11N];0.005=[C5H11N]+[C5H12N+],short_answer
"Write the mass balance for a 0.001 M solution of pyridine HCl<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{5}H_{6}N^{+}\leftrightarrow{}C_{5}H_{5}N"" src=""https://weber.instructure.com/equation_images/C_%7B5%7DH_%7B6%7DN%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B5%7DH_%7B5%7DN?scale=1.5"" alt=""LaTeX: C_{5}H_{6}N^{+}\leftrightarrow{}C_{5}H_{5}N"" data-equation-content=""C_{5}H_{6}N^{+}\leftrightarrow{}C_{5}H_{5}N"" data-ignore-a11y-check=""""></mattext>",0.001=[C5H6N+]+[C5H5N];0.001=[C5H5N]+[C5H6N+],short_answer
"Write the mass balance for a 0.0374 M solution of potassium hydrogen phthalate<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{8}H_{6}O_{4}\leftrightarrow{}C_{8}H_{5}O_{4}^{-}\leftrightarrow{}C_{8}H_{4}O_{4}^{2-}"" src=""https://weber.instructure.com/equation_images/C_%7B8%7DH_%7B6%7DO_%7B4%7D%5Cleftrightarrow%7B%7DC_%7B8%7DH_%7B5%7DO_%7B4%7D%5E%7B-%7D%5Cleftrightarrow%7B%7DC_%7B8%7DH_%7B4%7DO_%7B4%7D%5E%7B2-%7D?scale=1.5"" alt=""LaTeX: C_{8}H_{6}O_{4}\leftrightarrow{}C_{8}H_{5}O_{4}^{-}\leftrightarrow{}C_{8}H_{4}O_{4}^{2-}"" data-equation-content=""C_{8}H_{6}O_{4}\leftrightarrow{}C_{8}H_{5}O_{4}^{-}\leftrightarrow{}C_{8}H_{4}O_{4}^{2-}"" data-ignore-a11y-check=""""></mattext>",0.0374=[C8H6O4]+[C8H5O4-]+[C8H4O4--];0.0374=[C8H6O4]+[C8H4O4--]+[C8H5O4-];0.0374=[C8H5O4-]+[C8H6O4]+[C8H4O4--];0.0374=[C8H5O4-]+[C8H4O4--]+[C8H6O4];0.0374=[C8H4O4--]+[C8H6O4]+[C8H5O4-];0.0374=[C8H4O4--]+[C8H5O4-]+[C8H6O4],short_answer
"Write the mass balance for a 0.009 M solution of piperidine<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{5}H_{12}N^{+}\leftrightarrow{}C_{5}H_{11}N"" src=""https://weber.instructure.com/equation_images/C_%7B5%7DH_%7B12%7DN%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B5%7DH_%7B11%7DN?scale=1.5"" alt=""LaTeX: C_{5}H_{12}N^{+}\leftrightarrow{}C_{5}H_{11}N"" data-equation-content=""C_{5}H_{12}N^{+}\leftrightarrow{}C_{5}H_{11}N"" data-ignore-a11y-check=""""></mattext>",0.009=[C5H12N+]+[C5H11N];0.009=[C5H11N]+[C5H12N+],short_answer
"Write the mass balance for a 0.0066 M solution of acetic acid<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{2}H_{4}O_{2}\leftrightarrow{}C_{2}H_{3}O_{2}^{-}"" src=""https://weber.instructure.com/equation_images/C_%7B2%7DH_%7B4%7DO_%7B2%7D%5Cleftrightarrow%7B%7DC_%7B2%7DH_%7B3%7DO_%7B2%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: C_{2}H_{4}O_{2}\leftrightarrow{}C_{2}H_{3}O_{2}^{-}"" data-equation-content=""C_{2}H_{4}O_{2}\leftrightarrow{}C_{2}H_{3}O_{2}^{-}"" data-ignore-a11y-check=""""></mattext>",0.0066=[C2H4O2]+[C2H3O2-];0.0066=[C2H3O2-]+[C2H4O2],short_answer
"Write the mass balance for a 0.00139 M solution of sodium acetate<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{2}H_{4}O_{2}\leftrightarrow{}C_{2}H_{3}O_{2}^{-}"" src=""https://weber.instructure.com/equation_images/C_%7B2%7DH_%7B4%7DO_%7B2%7D%5Cleftrightarrow%7B%7DC_%7B2%7DH_%7B3%7DO_%7B2%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: C_{2}H_{4}O_{2}\leftrightarrow{}C_{2}H_{3}O_{2}^{-}"" data-equation-content=""C_{2}H_{4}O_{2}\leftrightarrow{}C_{2}H_{3}O_{2}^{-}"" data-ignore-a11y-check=""""></mattext>",0.00139=[C2H4O2]+[C2H3O2-];0.00139=[C2H3O2-]+[C2H4O2],short_answer
