question,correct_answers,question_type
"Write the expression for the reaction quotient Q for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Cu^{2+}+3OH^{-}\leftrightarrow{}Cu(OH)_{3}^{-}"" src=""https://weber.instructure.com/equation_images/Cu%5E%7B2%2B%7D%2B3OH%5E%7B-%7D%5Cleftrightarrow%7B%7DCu%28OH%29_%7B3%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: Cu^{2+}+3OH^{-}\leftrightarrow{}Cu(OH)_{3}^{-}"" data-equation-content=""Cu^{2+}+3OH^{-}\leftrightarrow{}Cu(OH)_{3}^{-}"" data-ignore-a11y-check=""""></mattext>",[Cu(OH)3-]/[Cu++][OH-]^3;[Cu(OH)3-]/[OH-]^3[Cu++],short_answer
"Write the expression for the reaction quotient Q for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{4}H_{6}NO_{4}^{-}+H_{2}O(l)\leftrightarrow{}C_{4}H_{7}NO_{4}+OH^{-}"" src=""https://weber.instructure.com/equation_images/C_%7B4%7DH_%7B6%7DNO_%7B4%7D%5E%7B-%7D%2BH_%7B2%7DO%28l%29%5Cleftrightarrow%7B%7DC_%7B4%7DH_%7B7%7DNO_%7B4%7D%2BOH%5E%7B-%7D?scale=1.5"" alt=""LaTeX: C_{4}H_{6}NO_{4}^{-}+H_{2}O(l)\leftrightarrow{}C_{4}H_{7}NO_{4}+OH^{-}"" data-equation-content=""C_{4}H_{6}NO_{4}^{-}+H_{2}O(l)\leftrightarrow{}C_{4}H_{7}NO_{4}+OH^{-}"" data-ignore-a11y-check=""""></mattext>",[C4H7NO4][OH-]/[C4H6NO4-];[OH-][C4H7NO4]/[C4H6NO4-],short_answer
"Write the expression for the reaction quotient Q for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{2}H_{2}O_{3}\leftrightarrow{}H^{+}+C_{2}HO_{3}^{-}"" src=""https://weber.instructure.com/equation_images/C_%7B2%7DH_%7B2%7DO_%7B3%7D%5Cleftrightarrow%7B%7DH%5E%7B%2B%7D%2BC_%7B2%7DHO_%7B3%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: C_{2}H_{2}O_{3}\leftrightarrow{}H^{+}+C_{2}HO_{3}^{-}"" data-equation-content=""C_{2}H_{2}O_{3}\leftrightarrow{}H^{+}+C_{2}HO_{3}^{-}"" data-ignore-a11y-check=""""></mattext>",[H+][C2HO3-]/[C2H2O3];[C2HO3-][H+]/[C2H2O3],short_answer
"Write the expression for the reaction quotient Q for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Fe^{3+}+3CH_{3}CO_{2}^{-}\leftrightarrow{}Fe(CH_{3}CO_{2})_{3}"" src=""https://weber.instructure.com/equation_images/Fe%5E%7B3%2B%7D%2B3CH_%7B3%7DCO_%7B2%7D%5E%7B-%7D%5Cleftrightarrow%7B%7DFe%28CH_%7B3%7DCO_%7B2%7D%29_%7B3%7D?scale=1.5"" alt=""LaTeX: Fe^{3+}+3CH_{3}CO_{2}^{-}\leftrightarrow{}Fe(CH_{3}CO_{2})_{3}"" data-equation-content=""Fe^{3+}+3CH_{3}CO_{2}^{-}\leftrightarrow{}Fe(CH_{3}CO_{2})_{3}"" data-ignore-a11y-check=""""></mattext>",[Fe(CH3CO2)3]/[Fe+++][CH3CO2-]^3;[Fe(CH3CO2)3]/[CH3CO2-]^3[Fe+++],short_answer
"Write the expression for the reaction quotient Q for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""CuI(s)\leftrightarrow{}Cu^{+}+I^{-}"" src=""https://weber.instructure.com/equation_images/CuI%28s%29%5Cleftrightarrow%7B%7DCu%5E%7B%2B%7D%2BI%5E%7B-%7D?scale=1.5"" alt=""LaTeX: CuI(s)\leftrightarrow{}Cu^{+}+I^{-}"" data-equation-content=""CuI(s)\leftrightarrow{}Cu^{+}+I^{-}"" data-ignore-a11y-check=""""></mattext>",[Cu+][I-];[I-][Cu+],short_answer
"Write the expression for the reaction quotient Q for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""HSO_{4}^{-}\leftrightarrow{}SO_{4}^{2-}+H^{+}"" src=""https://weber.instructure.com/equation_images/HSO_%7B4%7D%5E%7B-%7D%5Cleftrightarrow%7B%7DSO_%7B4%7D%5E%7B2-%7D%2BH%5E%7B%2B%7D?scale=1.5"" alt=""LaTeX: HSO_{4}^{-}\leftrightarrow{}SO_{4}^{2-}+H^{+}"" data-equation-content=""HSO_{4}^{-}\leftrightarrow{}SO_{4}^{2-}+H^{+}"" data-ignore-a11y-check=""""></mattext>",[SO4--][H+]/[HSO4-];[H+][SO4--]/[HSO4-],short_answer
"Write the expression for the reaction quotient Q for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Fe^{3+}+CH_{3}CO_{2}^{-}\leftrightarrow{}FeCH_{3}CO_{2}^{2+}"" src=""https://weber.instructure.com/equation_images/Fe%5E%7B3%2B%7D%2BCH_%7B3%7DCO_%7B2%7D%5E%7B-%7D%5Cleftrightarrow%7B%7DFeCH_%7B3%7DCO_%7B2%7D%5E%7B2%2B%7D?scale=1.5"" alt=""LaTeX: Fe^{3+}+CH_{3}CO_{2}^{-}\leftrightarrow{}FeCH_{3}CO_{2}^{2+}"" data-equation-content=""Fe^{3+}+CH_{3}CO_{2}^{-}\leftrightarrow{}FeCH_{3}CO_{2}^{2+}"" data-ignore-a11y-check=""""></mattext>",[FeCH3CO2++]/[Fe+++][CH3CO2-];[FeCH3CO2++]/[CH3CO2-][Fe+++],short_answer
"Write the expression for the reaction quotient Q for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""NO_{2}^{-}+H_{2}O(l)\leftrightarrow{}HNO_{2}+OH^{-}"" src=""https://weber.instructure.com/equation_images/NO_%7B2%7D%5E%7B-%7D%2BH_%7B2%7DO%28l%29%5Cleftrightarrow%7B%7DHNO_%7B2%7D%2BOH%5E%7B-%7D?scale=1.5"" alt=""LaTeX: NO_{2}^{-}+H_{2}O(l)\leftrightarrow{}HNO_{2}+OH^{-}"" data-equation-content=""NO_{2}^{-}+H_{2}O(l)\leftrightarrow{}HNO_{2}+OH^{-}"" data-ignore-a11y-check=""""></mattext>",[HNO2][OH-]/[NO2-];[OH-][HNO2]/[NO2-],short_answer
"Write the expression for the reaction quotient Q for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""PbCO_{3}(s)\leftrightarrow{}Pb^{2+}+CO_{3}^{2-}"" src=""https://weber.instructure.com/equation_images/PbCO_%7B3%7D%28s%29%5Cleftrightarrow%7B%7DPb%5E%7B2%2B%7D%2BCO_%7B3%7D%5E%7B2-%7D?scale=1.5"" alt=""LaTeX: PbCO_{3}(s)\leftrightarrow{}Pb^{2+}+CO_{3}^{2-}"" data-equation-content=""PbCO_{3}(s)\leftrightarrow{}Pb^{2+}+CO_{3}^{2-}"" data-ignore-a11y-check=""""></mattext>",[Pb++][CO3--];[CO3--][Pb++],short_answer
"Write the expression for the reaction quotient Q for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Co^{2+}+4OH^{-}\leftrightarrow{}Co(OH)_{4}^{2-}"" src=""https://weber.instructure.com/equation_images/Co%5E%7B2%2B%7D%2B4OH%5E%7B-%7D%5Cleftrightarrow%7B%7DCo%28OH%29_%7B4%7D%5E%7B2-%7D?scale=1.5"" alt=""LaTeX: Co^{2+}+4OH^{-}\leftrightarrow{}Co(OH)_{4}^{2-}"" data-equation-content=""Co^{2+}+4OH^{-}\leftrightarrow{}Co(OH)_{4}^{2-}"" data-ignore-a11y-check=""""></mattext>",[Co(OH)4--]/[Co++][OH-]^4;[Co(OH)4--]/[OH-]^4[Co++],short_answer
