question,correct_answers,question_type
Calculate the free energy (in kJ mol-1) for the following galvanic cell.<br>Eo = 0.1293 V<br>n = 3<br>T = 280.1 K,-37.43;-3.743e1;-3.743E1;-37.4;-3.74e1;-3.74E1;-37.427;-3.7427e1;-3.7427E1,short_answer
Calculate the reaction potential (in V) for the following galvanic cell.<br>dG = 41.5 kJ mol-1<br>n = 2<br>T = 284 K,-0.215;-2.15e-1;-2.15E-1;.215;-0.22;-2.2e-1;-2.2E-1;.22;-0.2150;-2.150e-1;-2.150E-1;.2150,short_answer
Calculate the reaction potential (in V) for the following galvanic cell.<br>K = 8.26e11<br>n = 3<br>T = 282.8 K,0.2229;2.229e-1;2.229E-1;.2229;0.223;2.23e-1;2.23E-1;.223;0.22290;2.2290e-1;2.2290E-1;.22290,short_answer
Calculate the reaction potential (in V) for the following galvanic cell.<br>dG = -25.83 kJ mol-1<br>n = 1<br>T = 300.4 K,0.2677;2.677e-1;2.677E-1;.2677;0.268;2.68e-1;2.68E-1;.268;0.26770;2.6770e-1;2.6770E-1;.26770,short_answer
Calculate the reaction potential (in V) for the following galvanic cell.<br>K = 1.1e9<br>n = 1<br>T = 287 K,0.514;5.14e-1;5.14E-1;.514;0.51;5.1e-1;5.1E-1;.51;0.5140;5.140e-1;5.140E-1;.5140,short_answer
Calculate the equilibrium constant for the following galvanic cell.<br>Eo = 2.777 V<br>n = 2<br>T = 281.9 K,1.97e99;1.97e99;1.97E99;2.0e99;2.0e99;2.0E99;1.968e99;1.968e99;1.968E99,short_answer
Calculate the reaction potential (in V) for the following galvanic cell.<br>K = 3.7e142<br>n = 3<br>T = 298 K,2.81;2.81e0;2.81E0;2.8;2.8e0;2.8E0;2.810;2.810e0;2.810E0,short_answer
Calculate the reaction potential (in V) for the following galvanic cell.<br>K = 9600<br>n = 1<br>T = 294.8 K,0.233;2.33e-1;2.33E-1;.233;0.23;2.3e-1;2.3E-1;.23;0.2330;2.330e-1;2.330E-1;.2330,short_answer
Calculate the reaction potential (in V) for the following galvanic cell.<br>dG = -273.9 kJ mol-1<br>n = 1<br>T = 280.2 K,2.839;2.839e0;2.839E0;2.84;2.84e0;2.84E0;2.8390;2.8390e0;2.8390E0,short_answer
Calculate the reaction potential (in V) for the following galvanic cell.<br>dG = -544 kJ mol-1<br>n = 2<br>T = 296 K,2.82;2.82e0;2.82E0;2.8;2.8e0;2.8E0;2.820;2.820e0;2.820E0,short_answer
Calculate the reaction potential (in V) for the following galvanic cell.<br>K = 1.59e18<br>n = 1<br>T = 280.2 K,1.012;1.012e0;1.012E0;1.01;1.01e0;1.01E0;1.0120;1.0120e0;1.0120E0,short_answer
Calculate the free energy (in kJ mol-1) for the following galvanic cell.<br>Eo = -0.486 V<br>n = 3<br>T = 297 K,141;1.41e2;1.41E2;141.;140;1.4e2;1.4E2;140.7;1.407e2;1.407E2,short_answer
Calculate the equilibrium constant for the following galvanic cell.<br>Eo = -0.8891 V<br>n = 3<br>T = 302.0 K,3.08e-45;3.08e-45;3.08E-45;.08e-45;3.1e-45;3.1e-45;3.1E-45;.1e-45;3.076e-45;3.076e-45;3.076E-45;.076e-45,short_answer
Calculate the reaction potential (in V) for the following galvanic cell.<br>dG = -128 kJ mol-1<br>n = 1<br>T = 291 K,1.33;1.33e0;1.33E0;1.3;1.3e0;1.3E0;1.330;1.330e0;1.330E0,short_answer
Calculate the free energy (in kJ mol-1) for the following galvanic cell.<br>Eo = -0.175 V<br>n = 1<br>T = 303 K,16.9;1.69e1;1.69E1;17;1.7e1;1.7E1;17.;16.89;1.689e1;1.689E1,short_answer
Calculate the free energy (in kJ mol-1) for the following galvanic cell.<br>Eo = 1.90 V<br>n = 2<br>T = 302 K,-367;-3.67e2;-3.67E2;-367.;-370;-3.7e2;-3.7E2;-366.6;-3.666e2;-3.666E2,short_answer
Calculate the free energy (in kJ mol-1) for the following galvanic cell.<br>Eo = 0.411 V<br>n = 3<br>T = 288 K,-119;-1.19e2;-1.19E2;-119.;-120;-1.2e2;-1.2E2;-119.0;-1.190e2;-1.190E2,short_answer
Calculate the free energy (in kJ mol-1) for the following galvanic cell.<br>Eo = 0.195 V<br>n = 2<br>T = 302 K,-37.6;-3.76e1;-3.76E1;-38;-3.8e1;-3.8E1;-38.;-37.63;-3.763e1;-3.763E1,short_answer
Calculate the equilibrium constant for the following galvanic cell.<br>Eo = 1.85 V<br>n = 3<br>T = 296 K,3.1e94;3.1e94;3.1E94;3e94;3e94;3E94;3.13e94;3.13e94;3.13E94,short_answer
Calculate the free energy (in kJ mol-1) for the following galvanic cell.<br>Eo = 0.8590 V<br>n = 1<br>T = 291.8 K,-82.88;-8.288e1;-8.288E1;-82.9;-8.29e1;-8.29E1;-82.881;-8.2881e1;-8.2881E1,short_answer
Calculate the equilibrium constant for the following galvanic cell.<br>Eo = 1.389 V<br>n = 1<br>T = 291.7 K,9.96e23;9.96e23;9.96E23;1.00e24;1.00e24;1.00E24;9.958e23;9.958e23;9.958E23,short_answer
Calculate the equilibrium constant for the following galvanic cell.<br>Eo = -0.7724 V<br>n = 2<br>T = 300.4 K,1.21e-26;1.21e-26;1.21E-26;.21e-26;1.2e-26;1.2e-26;1.2E-26;.2e-26;1.211e-26;1.211e-26;1.211E-26;.211e-26,short_answer
Calculate the free energy (in kJ mol-1) for the following galvanic cell.<br>Eo = 0.152 V<br>n = 1<br>T = 287 K,-14.7;-1.47e1;-1.47E1;-15;-1.5e1;-1.5E1;-15.;-14.67;-1.467e1;-1.467E1,short_answer
Calculate the reaction potential (in V) for the following galvanic cell.<br>K = 4.26e91<br>n = 3<br>T = 294.7 K,1.786;1.786e0;1.786E0;1.79;1.79e0;1.79E0;1.7860;1.7860e0;1.7860E0,short_answer
Calculate the equilibrium constant for the following galvanic cell.<br>Eo = -0.593 V<br>n = 1<br>T = 292 K,5.8e-11;5.8e-11;5.8E-11;.8e-11;6e-11;6e-11;6E-11;5.82e-11;5.82e-11;5.82E-11;.82e-11,short_answer
Calculate the reaction potential (in V) for the following galvanic cell.<br>dG = -190.9 kJ mol-1<br>n = 3<br>T = 290.3 K,0.6594;6.594e-1;6.594E-1;.6594;0.659;6.59e-1;6.59E-1;.659;0.65940;6.5940e-1;6.5940E-1;.65940,short_answer
Calculate the equilibrium constant for the following galvanic cell.<br>Eo = -0.159 V<br>n = 2<br>T = 293 K,0.0000034;3.4e-6;3.4E-6;.0000034;0.000003;3e-6;3E-6;.000003;0.00000339;3.39e-6;3.39E-6;.00000339,short_answer
