question,correct_answers,question_type
8.28 ÷ 20.24 = ?,0.409;4.09e-1;4.09E-1;.409,short_answer
ln(0.0147) = ?,-4.220;-4.220e0;-4.220E0,short_answer
15.36 x 15.66 = ?,240.5;2.405e2;2.405E2,short_answer
ln(0.15412) = ?,-1.87002;-1.87002e0;-1.87002E0,short_answer
0.00651 + 0.024 = ?,0.031;3.1e-2;3.1E-2;.031,short_answer
0.002975 ÷ 0.009082 = ?,0.3276;3.276e-1;3.276E-1;.3276,short_answer
e^5.606e-4 = ?,1.00;1.00e0;1.00E0,short_answer
e^3.44e-4 = ?,1.0;1.0e0;1.0E0,short_answer
0.00311 x 0.00832 = ?,0.0000259;2.59e-5;2.59E-5;.0000259,short_answer
e^0.1323 = ?,1.14;1.14e0;1.14E0,short_answer
26 x 62.02 = ?,1600;1.6e3;1.6E3,short_answer
0.0393 + 0.03765 = ?,0.0770;7.70e-2;7.70E-2;.0770,short_answer
ln(0.1262) = ?,-2.0699;-2.0699e0;-2.0699E0,short_answer
ln(0.056822) = ?,-2.86783;-2.86783e0;-2.86783E0,short_answer
961.9 + 3760 = ?,4720;4.72e3;4.72E3,short_answer
ln(17.82) = ?,2.8803;2.8803e0;2.8803E0,short_answer
11.318 - 38.1 = ?,-26.8;-2.68e1;-2.68E1,short_answer
e^0.112 = ?,1.1;1.1e0;1.1E0,short_answer
e^0.0014909 = ?,1.001;1.001e0;1.001E0,short_answer
ln(0.7103) = ?,-0.3421;-3.421e-1;-3.421E-1;.3421,short_answer
ln(7.7821) = ?,2.05183;2.05183e0;2.05183E0,short_answer
0.0043141 - 0.015458 = ?,-0.011144;-1.1144e-2;-1.1144E-2;.011144,short_answer
ln(0.692) = ?,-0.368;-3.68e-1;-3.68E-1;.368,short_answer
0.00292 ÷ 0.01414 = ?,0.207;2.07e-1;2.07E-1;.207,short_answer
ln(1.14) = ?,0.131;1.31e-1;1.31E-1;.131,short_answer
ln(0.043) = ?,-3.15;-3.15e0;-3.15E0,short_answer
ln(0.73017) = ?,-0.31448;-3.1448e-1;-3.1448E-1;.31448,short_answer
ln(0.063071) = ?,-2.76349;-2.76349e0;-2.76349E0,short_answer
e^0.03361 = ?,1.03;1.03e0;1.03E0,short_answer
273.0 ÷ 123.92 = ?,2.203;2.203e0;2.203E0,short_answer
150 - 471.4 = ?,-320;-3.2e2;-3.2E2,short_answer
ln(15.08) = ?,2.7134;2.7134e0;2.7134E0,short_answer
ln(0.1336) = ?,-2.0129;-2.0129e0;-2.0129E0,short_answer
27.62 - 120 = ?,-90;-9e1;-9E1,short_answer
