question,correct_answers,question_type
Convert 22.77 nHz to mHz,0.00002277;2.277e-5;2.277E-5;.00002277,short_answer
Convert 3.57 L to Ggal,9.43e-10;9.43e-10;9.43E-10;.43e-10,short_answer
Convert 10.3 s to µs,1.03e7;1.03e7;1.03E7,short_answer
Convert 738.2 gal to kgal,0.7382;7.382e-1;7.382E-1;.7382,short_answer
Convert 3.092 molecules to µmolecules,3.092e6;3.092e6;3.092E6,short_answer
Convert 3.255 h to kh,0.003255;3.255e-3;3.255E-3;.003255,short_answer
Convert 270 K to F,30;3e1;3E1,short_answer
Convert 163 µHz to mHz,0.163;1.63e-1;1.63E-1;.163,short_answer
Convert 0.53 lb to mlb,530;5.3e2;5.3E2,short_answer
Convert 2.5 nlb to moz,0.000040;4.0e-5;4.0E-5;.000040,short_answer
Convert 5.9 mol to Gmol,5.9e-9;5.9e-9;5.9E-9;.9e-9,short_answer
Convert 109.63 mol to nmol,1.0963e11;1.0963e11;1.0963E11,short_answer
Convert 770 mmHg to katm,0.0010;1.0e-3;1.0E-3;.0010,short_answer
Convert 0.00384 klb to nlb,3.84e9;3.84e9;3.84E9,short_answer
Convert 110 ft to mm,34000;3.4e4;3.4E4,short_answer
Convert 2.625 µJ to GJ,2.625e-15;2.625e-15;2.625E-15;.625e-15,short_answer
Convert 0.0021396 mi to nmi,2.1396e6;2.1396e6;2.1396E6,short_answer
Convert 157.4 F to K,342.8;3.428e2;3.428E2,short_answer
Convert 1.228 molecules to µmolecules,1.228e6;1.228e6;1.228E6,short_answer
Convert 19.0 oz to Goz,1.90e-8;1.90e-8;1.90E-8;.90e-8,short_answer
Convert 0.050177 Hz to µHz,50177;5.0177e4;5.0177E4;50177.,short_answer
Convert 25.025 g to klb,0.000055171;5.5171e-5;5.5171E-5;.000055171,short_answer
Convert 579.0 pTorr to atm,7.618e-13;7.618e-13;7.618E-13;.618e-13,short_answer
Convert 0.0625 nL to mgal,1.65e-8;1.65e-8;1.65E-8;.65e-8,short_answer
Convert 0.010 g to Goz,3.5e-13;3.5e-13;3.5E-13;.5e-13,short_answer
Convert 0.02872 Gs to min,478700;4.787e5;4.787E5,short_answer
Convert 0.0056 µmol to Mmolecules,3.4e9;3.4e9;3.4E9,short_answer
Convert 66.61 mh to day,0.002775;2.775e-3;2.775E-3;.002775,short_answer
Convert 0.005381 ft to pm,1.640e9;1.640e9;1.640E9,short_answer
Convert 8.122 µmol to pmol,8.122e6;8.122e6;8.122E6,short_answer
Convert 0.006730 Hz to nHz,6.730e6;6.730e6;6.730E6,short_answer
Convert 75 C to K,348;3.48e2;3.48E2;348.,short_answer
