question,correct_answers,question_type
Convert 1.19 bar to atm,1.17;1.17e0;1.17E0,short_answer
Convert 0.0028 gal to L,0.011;1.1e-2;1.1E-2;.011,short_answer
Convert 157 Torr to Pa,20900;2.09e4;2.09E4,short_answer
Convert 22.70 Torr to atm,0.02987;2.987e-2;2.987E-2;.02987,short_answer
Convert 216 C to K,489;4.89e2;4.89E2;489.,short_answer
Convert 0.022364 g to lb,0.000049304;4.9304e-5;4.9304E-5;.000049304,short_answer
Convert 469.29 Torr to bar,0.62567;6.2567e-1;6.2567E-1;.62567,short_answer
Convert 0.041628 mmHg to Pa,5.5499;5.5499e0;5.5499E0,short_answer
Convert 260 psi to mmHg,13000;1.3e4;1.3E4,short_answer
Convert 71.41 psi to atm,4.859;4.859e0;4.859E0,short_answer
Convert 2.144 cal to J,8.970;8.970e0;8.970E0,short_answer
Convert 0.0078 mi to m,13;1.3e1;1.3E1;13.,short_answer
Convert 0.807 L to gal,0.213;2.13e-1;2.13E-1;.213,short_answer
Convert 0.135 L to gal,0.0357;3.57e-2;3.57E-2;.0357,short_answer
Convert 0.0017 mol to molecules,1.0e21;1.0e21;1.0E21,short_answer
Convert 161.72 F to K,345.22;3.4522e2;3.4522E2,short_answer
Convert 93 Torr to psi,1.8;1.8e0;1.8E0,short_answer
Convert 16.092 psi to atm,1.0950;1.0950e0;1.0950E0,short_answer
Convert 0.003764 atm to psi,0.05532;5.532e-2;5.532E-2;.05532,short_answer
Convert 0.001042 mol to molecules,6.275e20;6.275e20;6.275E20,short_answer
Convert 0.015026 bar to Torr,11.270;1.1270e1;1.1270E1,short_answer
Convert 0.042 Torr to mmHg,0.042;4.2e-2;4.2E-2;.042,short_answer
Convert 0.011005 oz to lb,0.00068781;6.8781e-4;6.8781E-4;.00068781,short_answer
Convert 3.8781 Torr to atm,0.0051027;5.1027e-3;5.1027E-3;.0051027,short_answer
Convert 0.01336 psi to bar,0.0009211;9.211e-4;9.211E-4;.0009211,short_answer
Convert 1.8 J to cal,0.43;4.3e-1;4.3E-1;.43,short_answer
Convert 0.88 L to gal,0.23;2.3e-1;2.3E-1;.23,short_answer
Convert 0.806 mmHg to Pa,107;1.07e2;1.07E2;107.,short_answer
Convert 11.316 C to F,52.369;5.2369e1;5.2369E1,short_answer
Convert 266.3 K to C,-6.9;-6.9e0;-6.9E0,short_answer
