question,correct_answers,question_type
Calculate the wavelength (in nm) of a photon whose frequency is 3.308e14 Hz,906.3;9.063e2;9.063E2;906;9.06e2;9.06E2;906.;906.30;9.0630e2;9.0630E2,short_answer
Calculate the wavelength (in nm) of photons whose energy is 330 kJ/mol,360;3.6e2;3.6E2;400;4e2;4E2;360.;3.60e2;3.60E2;360..,short_answer
What is the energy (in kJ/mol) of photons with a wavelength of 339.29 nm,352.58;3.5258e2;3.5258E2;352.6;3.526e2;3.526E2;352.579;3.52579e2;3.52579E2,short_answer
What is the frequency (in Hz) of photons whose energy is 184 kJ/mol,4.61e14;4.61e14;4.61E14;4.6e14;4.6e14;4.6E14;4.612e14;4.612e14;4.612E14,short_answer
What is the frequency (in Hz) of a photon with a wavelength of 685.85 nm,4.3711e14;4.3711e14;4.3711E14;4.371e14;4.371e14;4.371E14;4.37111e14;4.37111e14;4.37111E14,short_answer
What is the energy (in kJ/mol) of photos with a frequency of 6.711e14 Hz,267.8;2.678e2;2.678E2;268;2.68e2;2.68E2;268.;267.80;2.6780e2;2.6780E2,short_answer
What is the frequency (in Hz) of a photon with a wavelength of 606.99 nm,4.9390e14;4.9390e14;4.9390E14;4.939e14;4.939e14;4.939E14;4.93900e14;4.93900e14;4.93900E14,short_answer
What is the energy (in kJ/mol) of photos with a frequency of 4.9269e14 Hz,196.60;1.9660e2;1.9660E2;196.6;1.966e2;1.966E2;196.599;1.96599e2;1.96599E2,short_answer
Calculate the wavelength (in nm) of a photon whose frequency is 8.04e14 Hz,373;3.73e2;3.73E2;373.;370;3.7e2;3.7E2;373.0;3.730e2;3.730E2,short_answer
Calculate the wavelength (in nm) of a photon whose frequency is 1.1781e15 Hz,254.47;2.5447e2;2.5447E2;254.5;2.545e2;2.545E2;254.470;2.54470e2;2.54470E2,short_answer
What is the energy (in kJ/mol) of photos with a frequency of 5.56e14 Hz,222;2.22e2;2.22E2;222.;220;2.2e2;2.2E2;221.9;2.219e2;2.219E2,short_answer
What is the energy (in kJ/mol) of photos with a frequency of 5.24e14 Hz,209;2.09e2;2.09E2;209.;210;2.1e2;2.1E2;209.1;2.091e2;2.091E2,short_answer
Calculate the wavelength (in nm) of photons whose energy is 440 kJ/mol,270;2.7e2;2.7E2;300;3e2;3E2;270.;2.70e2;2.70E2;270..,short_answer
What is the frequency (in Hz) of a photon with a wavelength of 370.5 nm,8.092e14;8.092e14;8.092E14;8.09e14;8.09e14;8.09E14;8.0916e14;8.0916e14;8.0916E14,short_answer
Calculate the wavelength (in nm) of a photon whose frequency is 4.0e14 Hz,750;7.5e2;7.5E2;800;8e2;8E2;750.;7.50e2;7.50E2;750..,short_answer
What is the frequency (in Hz) of photons whose energy is 141.5 kJ/mol,3.546e14;3.546e14;3.546E14;3.55e14;3.55e14;3.55E14;3.5462e14;3.5462e14;3.5462E14,short_answer
What is the frequency (in Hz) of a photon with a wavelength of 942.7 nm,3.180e14;3.180e14;3.180E14;3.18e14;3.18e14;3.18E14;3.1801e14;3.1801e14;3.1801E14,short_answer
Calculate the wavelength (in nm) of photons whose energy is 266.81 kJ/mol,448.36;4.4836e2;4.4836E2;448.4;4.484e2;4.484E2;448.360;4.48360e2;4.48360E2,short_answer
What is the frequency (in Hz) of photons whose energy is 160 kJ/mol,4.0e14;4.0e14;4.0E14;4e14;4e14;4E14;4.00e14;4.00e14;4.00E14,short_answer
Calculate the wavelength (in nm) of a photon whose frequency is 1.17e15 Hz,256;2.56e2;2.56E2;256.;260;2.6e2;2.6E2;256.0;2.560e2;2.560E2,short_answer
What is the frequency (in Hz) of a photon with a wavelength of 431.35 nm,6.9501e14;6.9501e14;6.9501E14;6.950e14;6.950e14;6.950E14;6.95010e14;6.95010e14;6.95010E14,short_answer
What is the frequency (in Hz) of a photon with a wavelength of 287.7 nm,1.042e15;1.042e15;1.042E15;1.04e15;1.04e15;1.04E15;1.0420e15;1.0420e15;1.0420E15,short_answer
What is the energy (in kJ/mol) of photons with a wavelength of 7.0e2 nm,170;1.7e2;1.7E2;200;2e2;2E2;171;1.71e2;1.71E2;171.,short_answer
What is the energy (in kJ/mol) of photos with a frequency of 7.3e14 Hz,290;2.9e2;2.9E2;300;3e2;3E2;292;2.92e2;2.92E2;292.,short_answer
What is the energy (in kJ/mol) of photos with a frequency of 4.51e14 Hz,180.;1.80e2;1.80E2;180..;180;1.8e2;1.8E2;179.9;1.799e2;1.799E2,short_answer
What is the energy (in kJ/mol) of photos with a frequency of 8.9394e14 Hz,356.71;3.5671e2;3.5671E2;356.7;3.567e2;3.567E2;356.711;3.56711e2;3.56711E2,short_answer
Calculate the wavelength (in nm) of a photon whose frequency is 6.94e14 Hz,432;4.32e2;4.32E2;432.;430;4.3e2;4.3E2;432.0;4.320e2;4.320E2,short_answer
What is the energy (in kJ/mol) of photos with a frequency of 8.8e14 Hz,350;3.5e2;3.5E2;400;4e2;4E2;352;3.52e2;3.52E2;352.,short_answer
What is the energy (in kJ/mol) of photons with a wavelength of 492 nm,243;2.43e2;2.43E2;243.;240;2.4e2;2.4E2;243.1;2.431e2;2.431E2,short_answer
What is the frequency (in Hz) of a photon with a wavelength of 575 nm,5.21e14;5.21e14;5.21E14;5.2e14;5.2e14;5.2E14;5.214e14;5.214e14;5.214E14,short_answer
Calculate the wavelength (in nm) of a photon whose frequency is 4.4909e14 Hz,667.56;6.6756e2;6.6756E2;667.6;6.676e2;6.676E2;667.560;6.67560e2;6.67560E2,short_answer
Calculate the wavelength (in nm) of photons whose energy is 218 kJ/mol,549;5.49e2;5.49E2;549.;550;5.5e2;5.5E2;549.0;5.490e2;5.490E2,short_answer
