question,correct_answers,question_type
fructose has an octanol-water partitioning coefficient of 0.002. What percentage of fructose will be found in the aqueous phase if 0.0039 g of fructose partitions between 2.3 L of water and 46.6 L of octanol?,96;9.6e1;9.6E1;96.;1.0e2;1.0e2;1.0E2;96.1;9.61e1;9.61E1;97;9.7e1;9.7E1;97.;1.0e2;1.0e2;1.0E2;97.0;9.70e1;9.70E1,short_answer
butane has an octanol-water partitioning coefficient of 800.0. What percentage of butane will be found in the aqueous phase if 0.0645 g of butane partitions between 13 L of water and 8.6 L of octanol?,0.19;1.9e-1;1.9E-1;.19;0.2;2e-1;2E-1;.2;0.189;1.89e-1;1.89E-1;.189;0.18;1.8e-1;1.8E-1;.18;0.2;2e-1;2E-1;.2;0.180;1.80e-1;1.80E-1;.180,short_answer
aspirin has an octanol-water partitioning coefficient of 20.0. What percentage of aspirin will be found in the aqueous phase if 1.07 g of aspirin partitions between 8.2 L of water and 2.0e2 L of octanol?,0.20;2.0e-1;2.0E-1;.20;0.2;2e-1;2E-1;.2;0.205;2.05e-1;2.05E-1;.205;0.21;2.1e-1;2.1E-1;.21;0.2;2e-1;2E-1;.2;0.210;2.10e-1;2.10E-1;.210,short_answer
nicotine has an octanol-water partitioning coefficient of 20.0. What percentage of nicotine will be found in the aqueous phase if 0.0082 g of nicotine partitions between 4.52 L of water and 29.2 L of octanol?,0.77;7.7e-1;7.7E-1;.77;0.8;8e-1;8E-1;.8;0.768;7.68e-1;7.68E-1;.768;0.76;7.6e-1;7.6E-1;.76;0.8;8e-1;8E-1;.8;0.760;7.60e-1;7.60E-1;.760,short_answer
glycine has an octanol-water partitioning coefficient of 0.0006. What percentage of glycine will be found in the aqueous phase if 53.7 g of glycine partitions between 151 L of water and 488 L of octanol?,99.8;9.98e1;9.98E1;100.;1.00e2;1.00E2;100..;99.81;9.981e1;9.981E1;99.9;9.99e1;9.99E1;100.;1.00e2;1.00E2;100..;99.90;9.990e1;9.990E1,short_answer
butene has an octanol-water partitioning coefficient of 300.0. What percentage of butene will be found in the aqueous phase if 0.0016 g of butene partitions between 810 L of water and 1400 L of octanol?,0.19;1.9e-1;1.9E-1;.19;0.2;2e-1;2E-1;.2;0.192;1.92e-1;1.92E-1;.192;0.20;2.0e-1;2.0E-1;.20;0.2;2e-1;2E-1;.2;0.200;2.00e-1;2.00E-1;.200,short_answer
propene has an octanol-water partitioning coefficient of 30.0. What percentage of propene will be found in the aqueous phase if 1.250 g of propene partitions between 24.5 L of water and 504 L of octanol?,0.162;1.62e-1;1.62E-1;.162;0.16;1.6e-1;1.6E-1;.16;0.1618;1.618e-1;1.618E-1;.1618;0.161;1.61e-1;1.61E-1;.161;0.16;1.6e-1;1.6E-1;.16;0.1610;1.610e-1;1.610E-1;.1610,short_answer
hexane has an octanol-water partitioning coefficient of 8000.0. What percentage of hexane will be found in the aqueous phase if 213.24 g of hexane partitions between 558 L of water and 3.0e4 L of octanol?,0.00023;2.3e-4;2.3E-4;.00023;0.0002;2e-4;2E-4;.0002;0.000232;2.32e-4;2.32E-4;.000232;0.00024;2.4e-4;2.4E-4;.00024;0.0002;2e-4;2E-4;.0002;0.000240;2.40e-4;2.40E-4;.000240,short_answer
aspirin has an octanol-water partitioning coefficient of 20.0. What percentage of aspirin will be found in the aqueous phase if 0.470 g of aspirin partitions between 86 L of water and 364 L of octanol?,1.2;1.2e0;1.2E0;1;1e0;1E0;1.;1.17;1.17e0;1.17E0;1.1;1.1e0;1.1E0;1;1e0;1E0;1.;1.10;1.10e0;1.10E0,short_answer
aspirin has an octanol-water partitioning coefficient of 20.0. What percentage of aspirin will be found in the aqueous phase if 357 g of aspirin partitions between 29 L of water and 3.08 L of octanol?,32;3.2e1;3.2E1;32.;30;3e1;3E1;32.0;3.20e1;3.20E1;33;3.3e1;3.3E1;33.;30;3e1;3E1;33.0;3.30e1;3.30E1,short_answer
